epidemiology,"Epidemiology provides the scientific foundation for evidence-based public health interventions.",역학,"역학은 근거 기반 공중보건 개입의 과학적 토대를 제공한다.",疫学,疫学は根拠に基づく公衆衛生介入の科学的基盤を提供する。,流行病学,流行病学为循证公共卫生干预提供了科学基础。,epidemiología,La epidemiología proporciona la base científica para las intervenciones de salud pública basadas en evidencia.,dịch tễ học,Dịch tễ học cung cấp nền tảng khoa học cho các can thiệp y tế công cộng dựa trên bằng chứng.,ระบาดวิทยา,ระบาดวิทยาเป็นรากฐานทางวิทยาศาสตร์สำหรับการแทรกแซงด้านสาธารณสุขที่อิงหลักฐาน,epidemiologi,Epidemiologi menyediakan dasar ilmiah untuk intervensi kesehatan masyarakat berbasis bukti.
sustainability,"Sustainability requires balancing economic development with ecological preservation for future generations.",지속가능성,"지속가능성은 미래 세대를 위해 경제 발전과 생태적 보전의 균형을 요구한다.",持続可能性,持続可能性は将来の世代のために経済発展と生態系の保全のバランスを取ることを必要とする。,可持续性,可持续性要求在经济发展与生态保护之间取得平衡以惠及后代。,sostenibilidad,La sostenibilidad requiere equilibrar el desarrollo económico con la preservación ecológica para las generaciones futuras.,bền vững,Bền vững đòi hỏi phải cân bằng giữa phát triển kinh tế với bảo tồn sinh thái cho các thế hệ tương lai.,ความยั่งยืน,ความยั่งยืนต้องการความสมดุลระหว่างการพัฒนาเศรษฐกิจกับการอนุรักษ์ระบบนิเวศเพื่อคนรุ่นหลัง,keberlanjutan,Keberlanjutan memerlukan keseimbangan antara pembangunan ekonomi dengan pelestarian ekologi untuk generasi mendatang.
environmental remediation,"Environmental remediation of contaminated industrial sites involves complex chemical and biological treatment processes.",환경 정화,"오염된 산업 부지의 환경 정화는 복잡한 화학적 및 생물학적 처리 과정을 포함한다.",環境修復,汚染された工業用地の環境修復は複雑な化学的および生物学的処理プロセスを伴う。,环境修复,受污染工业场地的环境修复涉及复杂的化学和生物处理过程。,remediación ambiental,La remediación ambiental de sitios industriales contaminados involucra procesos complejos de tratamiento químico y biológico.,khắc phục môi trường,Khắc phục môi trường tại các khu công nghiệp ô nhiễm bao gồm các quy trình xử lý hóa học và sinh học phức tạp.,การฟื้นฟูสิ่งแวดล้อม,การฟื้นฟูสิ่งแวดล้อมของพื้นที่อุตสาหกรรมที่ปนเปื้อนเกี่ยวข้องกับกระบวนการบำบัดทางเคมีและชีวภาพที่ซับซ้อน,remediasi lingkungan,Remediasi lingkungan dari situs industri yang terkontaminasi melibatkan proses pengolahan kimia dan biologis yang kompleks.
precautionary principle,"The precautionary principle advocates for preventive action even when scientific evidence of harm remains inconclusive.",사전예방 원칙,"사전예방 원칙은 피해에 대한 과학적 증거가 결론에 이르지 못한 경우에도 예방 조치를 옹호한다.",予防原則,予防原則は被害の科学的証拠が決定的でない場合でも予防措置を講じることを提唱する。,预防原则,预防原则主张即使危害的科学证据尚无定论也应采取预防行动。,principio de precaución,El principio de precaución aboga por la acción preventiva incluso cuando la evidencia científica del daño sigue siendo inconclusa.,nguyên tắc phòng ngừa,Nguyên tắc phòng ngừa ủng hộ hành động phòng ngừa ngay cả khi bằng chứng khoa học về tác hại vẫn chưa kết luận.,หลักความระมัดระวัง,หลักความระมัดระวังสนับสนุนการดำเนินการป้องกันแม้ว่าหลักฐานทางวิทยาศาสตร์ของอันตรายยังไม่ชัดเจน,prinsip kehati-hatian,Prinsip kehati-hatian menganjurkan tindakan pencegahan bahkan ketika bukti ilmiah tentang kerugian masih belum meyakinkan.
ecological footprint,"The ecological footprint metric quantifies human demand on the planet's biological resources and ecosystems.",생태발자국,"생태발자국 지표는 지구의 생물학적 자원과 생태계에 대한 인간의 수요를 정량화한다.",エコロジカルフットプリント,エコロジカルフットプリント指標は地球の生物学的資源と生態系に対する人間の需要を定量化する。,生态足迹,生态足迹指标量化了人类对地球生物资源和生态系统的需求。,huella ecológica,La métrica de huella ecológica cuantifica la demanda humana sobre los recursos biológicos y ecosistemas del planeta.,dấu chân sinh thái,Chỉ số dấu chân sinh thái định lượng nhu cầu của con người đối với các nguồn tài nguyên sinh học và hệ sinh thái của hành tinh.,รอยเท้านิเวศ,ตัวชี้วัดรอยเท้านิเวศวัดความต้องการของมนุษย์ที่มีต่อทรัพยากรทางชีวภาพและระบบนิเวศของโลก,jejak ekologis,Metrik jejak ekologis mengukur permintaan manusia terhadap sumber daya biologis dan ekosistem planet.
deforestation,"Deforestation in tropical regions accelerates soil erosion and disrupts regional precipitation patterns.",산림 벌채,"열대 지역의 산림 벌채는 토양 침식을 가속화하고 지역 강수 패턴을 교란한다.",森林破壊,熱帯地域の森林破壊は土壌侵食を加速し地域の降水パターンを乱す。,森林砍伐,热带地区的森林砍伐加速了土壤侵蚀并扰乱了区域降水模式。,deforestación,La deforestación en regiones tropicales acelera la erosión del suelo y altera los patrones regionales de precipitación.,phá rừng,Phá rừng ở các vùng nhiệt đới làm tăng tốc xói mòn đất và phá vỡ các mô hình lượng mưa khu vực.,การตัดไม้ทำลายป่า,การตัดไม้ทำลายป่าในเขตร้อนเร่งการกัดเซาะดินและทำลายรูปแบบปริมาณน้ำฝนในภูมิภาค,deforestasi,Deforestasi di daerah tropis mempercepat erosi tanah dan mengganggu pola curah hujan regional.
polluter pays principle,"The polluter pays principle assigns financial responsibility for environmental damage to those who cause it.",오염자 부담 원칙,"오염자 부담 원칙은 환경 피해에 대한 재정적 책임을 유발자에게 부과한다.",汚染者負担の原則,汚染者負担の原則は環境被害に対する財政的責任をその原因者に課す。,污染者付费原则,污染者付费原则将环境损害的经济责任分配给造成污染者。,principio de quien contamina paga,El principio de quien contamina paga asigna la responsabilidad financiera por el daño ambiental a quienes lo causan.,nguyên tắc người gây ô nhiễm phải trả,Nguyên tắc người gây ô nhiễm phải trả gán trách nhiệm tài chính về thiệt hại môi trường cho những người gây ra nó.,หลักผู้ก่อมลพิษเป็นผู้จ่าย,หลักผู้ก่อมลพิษเป็นผู้จ่ายกำหนดความรับผิดชอบทางการเงินสำหรับความเสียหายต่อสิ่งแวดล้อมแก่ผู้ที่ก่อให้เกิด,prinsip pencemar membayar,Prinsip pencemar membayar membebankan tanggung jawab finansial atas kerusakan lingkungan kepada mereka yang menyebabkannya.
mitigation,"Climate change mitigation strategies aim to reduce the concentration of greenhouse gases in the atmosphere.",완화,"기후변화 완화 전략은 대기 중 온실가스 농도를 줄이는 것을 목표로 한다.",緩和,気候変動緩和戦略は大気中の温室効果ガスの濃度を削減することを目指す。,缓解,气候变化缓解策略旨在降低大气中温室气体的浓度。,mitigación,Las estrategias de mitigación del cambio climático buscan reducir la concentración de gases de efecto invernadero en la atmósfera.,giảm nhẹ,Các chiến lược giảm nhẹ biến đổi khí hậu nhằm giảm nồng độ khí nhà kính trong khí quyển.,การบรรเทา,กลยุทธ์การบรรเทาการเปลี่ยนแปลงสภาพภูมิอากาศมุ่งลดความเข้มข้นของก๊าซเรือนกระจกในชั้นบรรยากาศ,mitigasi,Strategi mitigasi perubahan iklim bertujuan mengurangi konsentrasi gas rumah kaca di atmosfer.
environmental impact assessment,"An environmental impact assessment must be completed before any large-scale infrastructure project receives approval.",환경영향평가,"대규모 인프라 프로젝트가 승인을 받기 전에 환경영향평가가 완료되어야 한다.",環境影響評価,大規模なインフラプロジェクトが承認を受ける前に環境影響評価を完了しなければならない。,环境影响评估,任何大型基础设施项目在获得批准之前必须完成环境影响评估。,evaluación de impacto ambiental,Una evaluación de impacto ambiental debe completarse antes de que cualquier proyecto de infraestructura a gran escala reciba aprobación.,đánh giá tác động môi trường,Đánh giá tác động môi trường phải được hoàn thành trước khi bất kỳ dự án cơ sở hạ tầng quy mô lớn nào được phê duyệt.,การประเมินผลกระทบสิ่งแวดล้อม,การประเมินผลกระทบสิ่งแวดล้อมต้องเสร็จสมบูรณ์ก่อนที่โครงการโครงสร้างพื้นฐานขนาดใหญ่จะได้รับการอนุมัติ,analisis dampak lingkungan,Analisis dampak lingkungan harus diselesaikan sebelum proyek infrastruktur berskala besar mana pun mendapat persetujuan.
cap-and-trade,"Cap-and-trade systems set an overall emissions limit while allowing companies to buy and sell pollution permits.",총량제한 배출권 거래,"총량제한 배출권 거래 시스템은 전체 배출 한도를 설정하면서 기업이 오염 허가를 사고팔 수 있게 한다.",キャップアンドトレード,キャップアンドトレード制度は全体的な排出制限を設定しつつ企業が汚染許可証を売買できるようにする。,总量控制与交易,总量控制与交易系统设定总体排放上限同时允许企业买卖排污许可证。,tope y comercio,Los sistemas de tope y comercio establecen un límite general de emisiones mientras permiten a las empresas comprar y vender permisos de contaminación.,giới hạn và giao dịch,Hệ thống giới hạn và giao dịch đặt ra giới hạn phát thải tổng thể đồng thời cho phép các công ty mua bán giấy phép ô nhiễm.,ระบบจำกัดและค้าขาย,ระบบจำกัดและค้าขายกำหนดขีดจำกัดการปล่อยก๊าซโดยรวมในขณะที่อนุญาตให้บริษัทซื้อขายใบอนุญาตมลพิษ,cap-and-trade,Sistem cap-and-trade menetapkan batas emisi keseluruhan sambil memungkinkan perusahaan untuk membeli dan menjual izin polusi.
renewable energy mandate,"Renewable energy mandates require utilities to generate a specified percentage of electricity from clean sources.",재생에너지 의무,"재생에너지 의무는 전력회사가 청정 에너지원에서 지정된 비율의 전기를 생산하도록 요구한다.",再生可能エネルギー義務,再生可能エネルギー義務は電力会社にクリーンエネルギー源から一定割合の電力を発電することを義務付ける。,可再生能源强制令,可再生能源强制令要求公用事业公司从清洁能源中生产规定比例的电力。,mandato de energía renovable,Los mandatos de energía renovable requieren que las empresas de servicios públicos generen un porcentaje específico de electricidad de fuentes limpias.,quy định năng lượng tái tạo,Các quy định năng lượng tái tạo yêu cầu các công ty điện lực sản xuất một tỷ lệ điện nhất định từ các nguồn sạch.,คำสั่งพลังงานหมุนเวียน,คำสั่งพลังงานหมุนเวียนกำหนดให้สาธารณูปโภคผลิตไฟฟ้าจากแหล่งพลังงานสะอาดตามสัดส่วนที่กำหนด,mandat energi terbarukan,Mandat energi terbarukan mengharuskan perusahaan utilitas menghasilkan persentase listrik tertentu dari sumber energi bersih.
transboundary pollution,"Transboundary pollution requires international cooperation because contaminants do not respect political borders.",국경을 넘는 오염,"국경을 넘는 오염은 오염물질이 정치적 국경을 존중하지 않기 때문에 국제 협력을 필요로 한다.",越境汚染,越境汚染は汚染物質が政治的国境を尊重しないため国際協力を必要とする。,跨境污染,跨境污染需要国际合作因为污染物不受政治边界的约束。,contaminación transfronteriza,La contaminación transfronteriza requiere cooperación internacional porque los contaminantes no respetan las fronteras políticas.,ô nhiễm xuyên biên giới,Ô nhiễm xuyên biên giới đòi hỏi sự hợp tác quốc tế vì các chất ô nhiễm không tôn trọng ranh giới chính trị.,มลพิษข้ามพรมแดน,มลพิษข้ามพรมแดนต้องการความร่วมมือระหว่างประเทศเพราะสารปนเปื้อนไม่เคารพเขตแดนทางการเมือง,polusi lintas batas,Polusi lintas batas memerlukan kerja sama internasional karena kontaminan tidak mengenal batas politik.
stakeholder engagement,"Effective stakeholder engagement ensures that diverse community voices inform environmental policy decisions.",이해관계자 참여,"효과적인 이해관계자 참여는 다양한 지역사회의 목소리가 환경 정책 결정에 반영되도록 보장한다.",ステークホルダーエンゲージメント,効果的なステークホルダーエンゲージメントは多様なコミュニティの声が環境政策の決定に反映されることを保証する。,利益相关者参与,有效的利益相关者参与确保多元化的社区声音为环境政策决策提供信息。,participación de partes interesadas,La participación efectiva de las partes interesadas asegura que las diversas voces de la comunidad informen las decisiones de política ambiental.,sự tham gia của các bên liên quan,Sự tham gia hiệu quả của các bên liên quan đảm bảo rằng các tiếng nói đa dạng của cộng đồng được phản ánh trong các quyết định chính sách môi trường.,การมีส่วนร่วมของผู้มีส่วนได้ส่วนเสีย,การมีส่วนร่วมของผู้มีส่วนได้ส่วนเสียที่มีประสิทธิภาพรับประกันว่าเสียงของชุมชนที่หลากหลายจะถูกนำมาประกอบการตัดสินใจนโยบายสิ่งแวดล้อม,keterlibatan pemangku kepentingan,Keterlibatan pemangku kepentingan yang efektif memastikan suara komunitas yang beragam menginformasikan keputusan kebijakan lingkungan.
green taxonomy,"The European green taxonomy classifies economic activities based on their contribution to environmental sustainability.",녹색 분류체계,"유럽 녹색 분류체계는 환경 지속가능성에 대한 기여도를 기준으로 경제 활동을 분류한다.",グリーンタクソノミー,欧州のグリーンタクソノミーは環境の持続可能性への貢献度に基づいて経済活動を分類する。,绿色分类法,欧洲绿色分类法根据经济活动对环境可持续性的贡献进行分类。,taxonomía verde,La taxonomía verde europea clasifica las actividades económicas según su contribución a la sostenibilidad ambiental.,phân loại xanh,Phân loại xanh của châu Âu phân loại các hoạt động kinh tế dựa trên đóng góp của chúng cho tính bền vững môi trường.,อนุกรมวิธานสีเขียว,อนุกรมวิธานสีเขียวของยุโรปจัดหมวดหมู่กิจกรรมทางเศรษฐกิจตามการมีส่วนร่วมต่อความยั่งยืนด้านสิ่งแวดล้อม,taksonomi hijau,Taksonomi hijau Eropa mengklasifikasikan kegiatan ekonomi berdasarkan kontribusinya terhadap keberlanjutan lingkungan.
climate adaptation,"Climate adaptation planning helps vulnerable coastal communities prepare for rising sea levels and intensifying storms.",기후 적응,"기후 적응 계획은 취약한 해안 지역사회가 해수면 상승과 강화되는 폭풍에 대비하도록 돕는다.",気候適応,気候適応計画は脆弱な沿岸コミュニティが海面上昇と激化する暴風雨に備えるのを助ける。,气候适应,气候适应规划帮助脆弱的沿海社区为海平面上升和风暴加剧做好准备。,adaptación climática,La planificación de adaptación climática ayuda a las comunidades costeras vulnerables a prepararse para el aumento del nivel del mar y las tormentas cada vez más intensas.,thích ứng khí hậu,Kế hoạch thích ứng khí hậu giúp các cộng đồng ven biển dễ bị tổn thương chuẩn bị cho mực nước biển dâng và bão ngày càng mạnh.,การปรับตัวต่อสภาพอากาศ,การวางแผนปรับตัวต่อสภาพอากาศช่วยชุมชนชายฝั่งที่เปราะบางเตรียมพร้อมรับมือกับระดับน้ำทะเลที่สูงขึ้นและพายุที่รุนแรงขึ้น,adaptasi iklim,Perencanaan adaptasi iklim membantu komunitas pesisir yang rentan mempersiapkan diri menghadapi kenaikan permukaan laut dan badai yang semakin intensif.
phoneme,"A phoneme is the smallest unit of sound that can distinguish meaning between words in a given language.",음소,"음소는 주어진 언어에서 단어 간의 의미를 구별할 수 있는 가장 작은 소리 단위이다.",音素,音素は特定の言語において単語間の意味を区別できる最小の音の単位である。,音位,音位是给定语言中能够区分词义的最小语音单位。,fonema,Un fonema es la unidad de sonido más pequeña que puede distinguir el significado entre palabras en una lengua dada.,âm vị,Âm vị là đơn vị âm thanh nhỏ nhất có thể phân biệt nghĩa giữa các từ trong một ngôn ngữ nhất định.,หน่วยเสียง,หน่วยเสียงคือหน่วยเสียงที่เล็กที่สุดที่สามารถแยกความหมายระหว่างคำในภาษาหนึ่งได้,fonem,Fonem adalah unit bunyi terkecil yang dapat membedakan makna antar kata dalam bahasa tertentu.
morphosyntax,"Morphosyntax examines how word structure and sentence structure interact to produce grammatical meaning.",형태통사론,"형태통사론은 단어 구조와 문장 구조가 어떻게 상호작용하여 문법적 의미를 생성하는지를 검토한다.",形態統語論,形態統語論は語構造と文構造がどのように相互作用して文法的意味を生み出すかを検討する。,形态句法学,形态句法学研究词结构和句子结构如何相互作用以产生语法意义。,morfosintaxis,La morfosintaxis examina cómo la estructura de las palabras y la estructura de las oraciones interactúan para producir significado gramatical.,hình thái cú pháp,Hình thái cú pháp nghiên cứu cách cấu trúc từ và cấu trúc câu tương tác để tạo ra nghĩa ngữ pháp.,สัณฐานวิทยาวากยสัมพันธ์,สัณฐานวิทยาวากยสัมพันธ์ตรวจสอบว่าโครงสร้างคำและโครงสร้างประโยคมีปฏิสัมพันธ์กันอย่างไรเพื่อสร้างความหมายทางไวยากรณ์,morfosintaksis,Morfosintaksis mengkaji bagaimana struktur kata dan struktur kalimat berinteraksi untuk menghasilkan makna gramatikal.
pragmatics,"Pragmatics studies how context and speaker intention influence the interpretation of linguistic utterances.",화용론,"화용론은 맥락과 화자의 의도가 언어적 발화의 해석에 어떻게 영향을 미치는지를 연구한다.",語用論,語用論は文脈と話者の意図が言語的発話の解釈にどう影響するかを研究する。,语用学,语用学研究语境和说话者意图如何影响语言话语的解释。,pragmática,La pragmática estudia cómo el contexto y la intención del hablante influyen en la interpretación de los enunciados lingüísticos.,ngữ dụng học,Ngữ dụng học nghiên cứu cách ngữ cảnh và ý định của người nói ảnh hưởng đến việc diễn giải các phát ngôn ngôn ngữ.,วัจนปฏิบัติศาสตร์,วัจนปฏิบัติศาสตร์ศึกษาว่าบริบทและเจตนาของผู้พูดมีอิทธิพลต่อการตีความถ้อยคำทางภาษาอย่างไร,pragmatik,Pragmatik mempelajari bagaimana konteks dan niat pembicara memengaruhi interpretasi ujaran linguistik.
sociolect,"A sociolect reflects the distinctive speech patterns associated with a particular social class or occupational group.",사회 방언,"사회 방언은 특정 사회 계층이나 직업 집단과 관련된 독특한 발화 패턴을 반영한다.",社会方言,社会方言は特定の社会階級や職業集団に関連する独特の発話パターンを反映する。,社会方言,社会方言反映了与特定社会阶层或职业群体相关的独特言语模式。,sociolecto,Un sociolecto refleja los patrones de habla distintivos asociados con una clase social o grupo ocupacional particular.,phương ngữ xã hội,Phương ngữ xã hội phản ánh các mẫu nói đặc trưng liên quan đến một tầng lớp xã hội hoặc nhóm nghề nghiệp cụ thể.,ภาษาถิ่นทางสังคม,ภาษาถิ่นทางสังคมสะท้อนรูปแบบการพูดที่เป็นเอกลักษณ์ของชนชั้นทางสังคมหรือกลุ่มอาชีพเฉพาะ,sosiolek,Sosiolek mencerminkan pola tutur khas yang terkait dengan kelas sosial atau kelompok pekerjaan tertentu.
code-switching,"Code-switching between languages within a single conversation reflects complex sociolinguistic identity negotiation.",코드 전환,"단일 대화 내에서의 언어 간 코드 전환은 복잡한 사회언어학적 정체성 협상을 반영한다.",コードスイッチング,一つの会話内での言語間のコードスイッチングは複雑な社会言語学的アイデンティティの交渉を反映する。,语码转换,单一对话中语言之间的语码转换反映了复杂的社会语言学身份协商。,alternancia de código,La alternancia de código entre idiomas dentro de una sola conversación refleja una compleja negociación de identidad sociolingüística.,chuyển mã,Chuyển mã giữa các ngôn ngữ trong một cuộc hội thoại phản ánh sự thương lượng bản sắc ngôn ngữ xã hội phức tạp.,การสลับรหัสภาษา,การสลับรหัสภาษาระหว่างภาษาภายในบทสนทนาเดียวสะท้อนการเจรจาอัตลักษณ์ทางสังคมภาษาศาสตร์ที่ซับซ้อน,alih kode,Alih kode antar bahasa dalam satu percakapan mencerminkan negosiasi identitas sosiolinguistik yang kompleks.
pidginization,"Pidginization occurs when speakers of different languages develop a simplified contact language for basic communication.",피진화,"피진화는 서로 다른 언어의 화자가 기본적인 의사소통을 위한 단순화된 접촉 언어를 발전시킬 때 발생한다.",ピジン化,ピジン化は異なる言語の話者が基本的なコミュニケーションのための簡略化された接触言語を発展させるときに起こる。,皮钦语化,皮钦语化发生在不同语言的使用者为基本交流而发展出一种简化的接触语言时。,pidginización,La pidginización ocurre cuando hablantes de diferentes idiomas desarrollan una lengua de contacto simplificada para la comunicación básica.,sự hình thành ngôn ngữ hỗn hợp,Sự hình thành ngôn ngữ hỗn hợp xảy ra khi những người nói các ngôn ngữ khác nhau phát triển một ngôn ngữ tiếp xúc đơn giản hóa để giao tiếp cơ bản.,การเกิดภาษาผสม,การเกิดภาษาผสมเกิดขึ้นเมื่อผู้พูดภาษาต่างกันพัฒนาภาษาสัมผัสที่เรียบง่ายสำหรับการสื่อสารเบื้องต้น,pidginisasi,Pidginisasi terjadi ketika penutur bahasa yang berbeda mengembangkan bahasa kontak yang disederhanakan untuk komunikasi dasar.
discourse analysis,"Discourse analysis reveals how power relations are constructed and reinforced through everyday language use.",담화 분석,"담화 분석은 권력 관계가 일상적인 언어 사용을 통해 어떻게 구성되고 강화되는지를 밝힌다.",談話分析,談話分析は権力関係が日常的な言語使用を通じてどのように構築され強化されるかを明らかにする。,话语分析,话语分析揭示了权力关系如何通过日常语言使用被建构和强化。,análisis del discurso,El análisis del discurso revela cómo las relaciones de poder se construyen y refuerzan a través del uso cotidiano del lenguaje.,phân tích diễn ngôn,Phân tích diễn ngôn cho thấy các mối quan hệ quyền lực được xây dựng và củng cố như thế nào thông qua việc sử dụng ngôn ngữ hàng ngày.,การวิเคราะห์วาทกรรม,การวิเคราะห์วาทกรรมเผยให้เห็นว่าความสัมพันธ์เชิงอำนาจถูกสร้างและเสริมแรงผ่านการใช้ภาษาในชีวิตประจำวันอย่างไร,analisis wacana,Analisis wacana mengungkapkan bagaimana hubungan kekuasaan dibangun dan diperkuat melalui penggunaan bahasa sehari-hari.
diachronic,"Diachronic linguistics traces the historical evolution of languages and their grammatical structures over centuries.",통시적,"통시적 언어학은 수 세기에 걸친 언어와 그 문법 구조의 역사적 진화를 추적한다.",通時的,通時的言語学は数世紀にわたる言語とその文法構造の歴史的進化を辿る。,历时的,历时语言学追溯数世纪以来语言及其语法结构的历史演变。,diacrónico,La lingüística diacrónica traza la evolución histórica de las lenguas y sus estructuras gramaticales a lo largo de los siglos.,lịch đại,Ngôn ngữ học lịch đại truy vết sự tiến hóa lịch sử của các ngôn ngữ và cấu trúc ngữ pháp của chúng qua nhiều thế kỷ.,วิวัฒนาการตามเวลา,ภาษาศาสตร์เชิงวิวัฒนาการตามเวลาสืบค้นวิวัฒนาการทางประวัติศาสตร์ของภาษาและโครงสร้างไวยากรณ์ตลอดหลายศตวรรษ,diakronis,Linguistik diakronis menelusuri evolusi historis bahasa dan struktur gramatikalnya selama berabad-abad.
suprasegmental,"Suprasegmental features such as intonation and stress convey meaning beyond individual speech sounds.",초분절적,"억양과 강세와 같은 초분절적 특징은 개별 음성 너머의 의미를 전달한다.",超分節的,イントネーションやストレスなどの超分節的特徴は個々の音声を超えた意味を伝える。,超音段的,语调和重音等超音段特征传达了超越单个语音的意义。,suprasegmental,Las características suprasegmentales como la entonación y el acento transmiten significado más allá de los sonidos individuales del habla.,siêu đoạn tính,Các đặc điểm siêu đoạn tính như ngữ điệu và trọng âm truyền tải ý nghĩa vượt ra ngoài các âm thanh lời nói riêng lẻ.,เหนือหน่วยเสียง,ลักษณะเหนือหน่วยเสียงเช่นทำนองเสียงและการเน้นเสียงถ่ายทอดความหมายเกินกว่าเสียงพูดแต่ละเสียง,suprasegmental,Fitur suprasegmental seperti intonasi dan tekanan menyampaikan makna di luar bunyi ujaran individual.
language attrition,"Language attrition occurs when speakers gradually lose proficiency in a language they no longer use regularly.",언어 마멸,"언어 마멸은 화자가 더 이상 정기적으로 사용하지 않는 언어에 대한 능숙도를 점차 잃을 때 발생한다.",言語摩耗,言語摩耗は話者が定期的に使用しなくなった言語の習熟度を徐々に失うときに起こる。,语言磨蚀,语言磨蚀发生在说话者逐渐失去不再经常使用的语言的熟练程度时。,atrición lingüística,La atrición lingüística ocurre cuando los hablantes pierden gradualmente la competencia en un idioma que ya no usan regularmente.,sự mai một ngôn ngữ,Sự mai một ngôn ngữ xảy ra khi người nói dần mất đi khả năng thành thạo trong ngôn ngữ mà họ không còn sử dụng thường xuyên.,การเสื่อมถอยของภาษา,การเสื่อมถอยของภาษาเกิดขึ้นเมื่อผู้พูดสูญเสียความสามารถทางภาษาที่ไม่ได้ใช้เป็นประจำอีกต่อไป,atrisi bahasa,Atrisi bahasa terjadi ketika penutur secara bertahap kehilangan kemahiran dalam bahasa yang tidak lagi mereka gunakan secara teratur.
linguistic determinism,"Linguistic determinism posits that the structure of a language fundamentally shapes the thought patterns of its speakers.",언어 결정론,"언어 결정론은 언어의 구조가 화자의 사고 패턴을 근본적으로 형성한다고 주장한다.",言語決定論,言語決定論は言語の構造が話者の思考パターンを根本的に形成すると主張する。,语言决定论,语言决定论认为语言的结构从根本上塑造了其使用者的思维模式。,determinismo lingüístico,El determinismo lingüístico postula que la estructura de una lengua moldea fundamentalmente los patrones de pensamiento de sus hablantes.,thuyết quyết định luận ngôn ngữ,Thuyết quyết định luận ngôn ngữ cho rằng cấu trúc của một ngôn ngữ định hình cơ bản các mô hình tư duy của người nói nó.,ภาษากำหนดความคิด,ทฤษฎีภาษากำหนดความคิดตั้งสมมติฐานว่าโครงสร้างของภาษากำหนดรูปแบบความคิดของผู้พูดอย่างพื้นฐาน,determinisme linguistik,Determinisme linguistik berpendapat bahwa struktur bahasa secara fundamental membentuk pola pikir penuturnya.
epenthesis,"Epenthesis is the insertion of an extra sound into a word to ease pronunciation in connected speech.",삽입음,"삽입음은 연결된 발화에서 발음을 쉽게 하기 위해 단어에 여분의 소리를 삽입하는 것이다.",挿入音,挿入音は連続した発話において発音を容易にするために語に余分な音を挿入することである。,插音,插音是在连续语流中为便于发音而在词中插入额外音素的现象。,epéntesis,La epéntesis es la inserción de un sonido extra en una palabra para facilitar la pronunciación en el habla conectada.,hiện tượng chen âm,Hiện tượng chen âm là việc chèn thêm một âm vào từ để dễ phát âm hơn trong lời nói liên tục.,การเติมเสียง,การเติมเสียงคือการแทรกเสียงเพิ่มเติมเข้าไปในคำเพื่อให้ออกเสียงได้ง่ายขึ้นในการพูดต่อเนื่อง,epentesis,Epentesis adalah penyisipan bunyi tambahan ke dalam kata untuk memudahkan pengucapan dalam ujaran terhubung.
agglutination,"Agglutination is a morphological process in which words are formed by stringing together distinct meaningful units.",교착,"교착은 뚜렷한 의미 단위를 연결하여 단어를 형성하는 형태론적 과정이다.",膠着,膠着は明確な意味単位をつなぎ合わせて語を形成する形態論的プロセスである。,黏着,黏着是一种形态过程通过将不同的有意义单位串联在一起来构成词。,aglutinación,La aglutinación es un proceso morfológico en el que las palabras se forman encadenando unidades significativas distintas.,hiện tượng chắp dính,Hiện tượng chắp dính là một quá trình hình thái học trong đó các từ được hình thành bằng cách nối các đơn vị có nghĩa riêng biệt lại với nhau.,การเกาะติด,การเกาะติดเป็นกระบวนการทางสัณฐานวิทยาที่คำถูกสร้างขึ้นโดยการเรียงหน่วยความหมายที่แตกต่างกันเข้าด้วยกัน,aglutinasi,Aglutinasi adalah proses morfologis di mana kata dibentuk dengan merangkai unit bermakna yang berbeda.
polysemy,"Polysemy poses significant challenges for machine translation systems because one word carries multiple related meanings.",다의성,"다의성은 하나의 단어가 여러 관련 의미를 지니기 때문에 기계 번역 시스템에 상당한 도전을 제기한다.",多義性,多義性は一つの語が複数の関連する意味を持つため機械翻訳システムに大きな課題をもたらす。,多义性,多义性对机器翻译系统构成重大挑战因为一个词承载多个相关含义。,polisemia,La polisemia plantea desafíos significativos para los sistemas de traducción automática porque una palabra tiene múltiples significados relacionados.,đa nghĩa,Đa nghĩa tạo ra thách thức đáng kể cho các hệ thống dịch máy vì một từ mang nhiều nghĩa liên quan.,ความหลายความหมาย,ความหลายความหมายสร้างความท้าทายอย่างมากสำหรับระบบแปลภาษาด้วยเครื่องเพราะคำเดียวมีหลายความหมายที่เกี่ยวข้อง,polisemi,Polisemi menimbulkan tantangan signifikan bagi sistem penerjemahan mesin karena satu kata memiliki beberapa makna yang terkait.
