regression,The regression analysis revealed a strong linear relationship between income and education level.,회귀,회귀 분석 결과 소득과 교육 수준 사이에 강한 선형 관계가 나타났다.,回帰,回帰分析により、所得と教育水準の間に強い線形関係があることが明らかになった。,回归,回归分析揭示了收入与教育水平之间存在强烈的线性关系。,regresión,El análisis de regresión reveló una fuerte relación lineal entre el ingreso y el nivel educativo.,hồi quy,Phân tích hồi quy cho thấy mối quan hệ tuyến tính mạnh giữa thu nhập và trình độ học vấn.,การถดถอย,การวิเคราะห์การถดถอยเผยให้เห็นความสัมพันธ์เชิงเส้นที่แข็งแกร่งระหว่างรายได้กับระดับการศึกษา,regresi,Analisis regresi mengungkapkan hubungan linier yang kuat antara pendapatan dan tingkat pendidikan.
moreover,The study was methodologically rigorous; moreover it was the largest of its kind ever conducted.,더욱이; 게다가,그 연구는 방법론적으로 엄밀했다. 더욱이 그 종류로서는 역대 최대 규모로 수행되었다.,さらに,その研究は方法論的に厳密であった。さらにこの種の研究として過去最大規模であった。,此外,该研究在方法论上非常严格；此外它是有史以来同类研究中规模最大的。,además,El estudio fue metodológicamente riguroso; además fue el más grande de su tipo jamás realizado.,hơn nữa,Nghiên cứu này có phương pháp luận chặt chẽ; hơn nữa đây là nghiên cứu lớn nhất thuộc loại này từng được thực hiện.,ยิ่งกว่านั้น,การศึกษานี้มีระเบียบวิธีที่เข้มงวด ยิ่งกว่านั้นยังเป็นการศึกษาที่ใหญ่ที่สุดในประเภทเดียวกันที่เคยทำมา,selain itu,Studi tersebut ketat secara metodologis; selain itu merupakan yang terbesar dari jenisnya yang pernah dilakukan.
nonetheless,The evidence was largely circumstantial; nonetheless the prosecution secured a conviction.,그럼에도 불구하고,증거는 대부분 정황적이었다. 그럼에도 불구하고 검찰은 유죄 판결을 이끌어냈다.,それにもかかわらず,証拠は大部分が状況証拠であった。それにもかかわらず検察は有罪判決を勝ち取った。,尽管如此,证据大部分是间接的；尽管如此检方还是获得了有罪判决。,no obstante,La evidencia era en gran parte circunstancial; no obstante la fiscalía logró una condena.,tuy nhiên,Bằng chứng phần lớn là gián tiếp; tuy nhiên bên công tố vẫn đạt được bản án có tội.,อย่างไรก็ตาม,หลักฐานส่วนใหญ่เป็นพยานแวดล้อม อย่างไรก็ตามอัยการสามารถตัดสินลงโทษได้,meskipun begitu,Bukti sebagian besar bersifat tidak langsung; meskipun begitu jaksa berhasil mendapatkan vonis bersalah.
conversely,Urban areas saw a sharp decline in crime; conversely rural communities experienced an unexpected surge.,반대로,도시 지역에서는 범죄가 급감한 반면 반대로 농촌 지역에서는 예상치 못한 급증이 나타났다.,逆に,都市部では犯罪が急減した。逆に農村部では予想外の急増を経験した。,相反地,城市地区犯罪率急剧下降；相反农村社区却出现了意外的激增。,por el contrario,Las áreas urbanas experimentaron una fuerte disminución del crimen; por el contrario las comunidades rurales experimentaron un aumento inesperado.,ngược lại,Khu vực thành thị chứng kiến sự giảm mạnh tội phạm; ngược lại các cộng đồng nông thôn lại trải qua sự gia tăng bất ngờ.,ในทางกลับกัน,พื้นที่ในเมืองเห็นอาชญากรรมลดลงอย่างรวดเร็ว ในทางกลับกันชุมชนชนบทกลับประสบกับการเพิ่มขึ้นอย่างไม่คาดคิด,sebaliknya,Daerah perkotaan mengalami penurunan tajam dalam kejahatan; sebaliknya komunitas pedesaan mengalami lonjakan yang tidak terduga.
accordingly,The committee identified several critical flaws in the proposal and accordingly recommended its rejection.,따라서; 그에 맞게,위원회는 제안서에서 여러 치명적 결함을 발견하고 따라서 그 거부를 권고했다.,したがって,委員会は提案にいくつかの重大な欠陥を発見しそれに応じてその否決を勧告した。,因此,委员会发现了提案中的几个关键缺陷因此建议予以否决。,en consecuencia,El comité identificó varios defectos críticos en la propuesta y en consecuencia recomendó su rechazo.,do đó,Ủy ban xác định một số lỗi nghiêm trọng trong đề xuất và do đó đề nghị bác bỏ nó.,ดังนั้น,คณะกรรมการระบุข้อบกพร่องที่สำคัญหลายประการในข้อเสนอและดังนั้นจึงแนะนำให้ปฏิเสธ,oleh karena itu,Komite mengidentifikasi beberapa kelemahan kritis dalam proposal dan oleh karena itu merekomendasikan penolakannya.
pertaining,All documents pertaining to the merger were submitted to the regulatory authority for review.,~에 관한,합병에 관한 모든 서류가 검토를 위해 규제 당국에 제출되었다.,～に関する,合併に関するすべての書類が審査のために規制当局に提出された。,有关的,所有与合并有关的文件均已提交给监管机构审查。,relativo a,Todos los documentos relativos a la fusión fueron presentados a la autoridad reguladora para su revisión.,liên quan đến,Tất cả các tài liệu liên quan đến việc sáp nhập đã được nộp cho cơ quan quản lý để xem xét.,เกี่ยวกับ,เอกสารทั้งหมดที่เกี่ยวกับการควบรวมกิจการถูกส่งไปยังหน่วยงานกำกับดูแลเพื่อตรวจสอบ,berkenaan dengan,Semua dokumen yang berkenaan dengan merger diserahkan kepada otoritas regulasi untuk ditinjau.
pursuant,Pursuant to the new regulations all hazardous materials must be stored in sealed containers.,~에 따라,새로운 규정에 따라 모든 위험 물질은 밀봉된 용기에 보관해야 한다.,～に従って,新しい規則に従いすべての危険物は密閉容器に保管しなければならない。,根据,根据新规定所有危险材料必须储存在密封容器中。,de conformidad con,De conformidad con las nuevas regulaciones todos los materiales peligrosos deben almacenarse en contenedores sellados.,theo,Theo các quy định mới tất cả vật liệu nguy hiểm phải được lưu trữ trong các thùng chứa kín.,ตาม,ตามระเบียบใหม่ วัสดุอันตรายทั้งหมดต้องเก็บในภาชนะปิดสนิท,sesuai dengan,Sesuai dengan peraturan baru semua bahan berbahaya harus disimpan dalam wadah tertutup rapat.
albeit,The project was completed on time albeit at a considerably higher cost than originally budgeted.,비록 ~이지만,프로젝트는 비록 원래 예산보다 상당히 높은 비용이 들었지만 제시간에 완료되었다.,とはいえ,プロジェクトは予定通りに完了したとはいえ当初の予算よりかなり高いコストがかかった。,尽管,项目按时完成了尽管成本远高于最初的预算。,aunque,El proyecto se completó a tiempo aunque a un costo considerablemente mayor que el presupuestado originalmente.,mặc dù,Dự án được hoàn thành đúng hạn mặc dù với chi phí cao hơn đáng kể so với ngân sách ban đầu.,แม้ว่า,โครงการเสร็จสิ้นตรงเวลาแม้ว่าจะมีต้นทุนสูงกว่าที่ตั้งงบประมาณไว้มาก,meskipun,Proyek selesai tepat waktu meskipun dengan biaya yang jauh lebih tinggi daripada yang dianggarkan semula.
lest,She triple-checked her calculations lest a single arithmetic error invalidate the entire study.,~하지 않도록,그녀는 하나의 산술 오류가 전체 연구를 무효화하지 않도록 계산을 세 번 확인했다.,～しないように,彼女は一つの計算ミスが研究全体を無効にしないよう計算を三度確認した。,以免,她反复检查了三遍计算以免一个算术错误使整个研究无效。,no sea que,Revisó sus cálculos tres veces no sea que un solo error aritmético invalidara todo el estudio.,kẻo,Cô ấy kiểm tra lại phép tính ba lần kẻo một sai sót số học duy nhất làm mất hiệu lực toàn bộ nghiên cứu.,เกรงว่า,เธอตรวจสอบการคำนวณสามรอบเกรงว่าข้อผิดพลาดทางคณิตศาสตร์เพียงจุดเดียวจะทำให้การศึกษาทั้งหมดเป็นโมฆะ,agar tidak,Dia memeriksa ulang perhitungannya tiga kali agar tidak ada satu kesalahan aritmetika pun yang membatalkan seluruh penelitian.
paradigm,The advent of quantum mechanics represented a fundamental paradigm shift in our understanding of the physical world.,패러다임,양자역학의 출현은 물리적 세계에 대한 이해에서 근본적인 패러다임 전환을 나타냈다.,パラダイム,量子力学の出現は物理的世界の理解における根本的なパラダイムシフトを示した。,范式,量子力学的出现代表了我们对物理世界理解的根本性范式转变。,paradigma,El advenimiento de la mecánica cuántica representó un cambio de paradigma fundamental en nuestra comprensión del mundo físico.,mô hình,Sự ra đời của cơ học lượng tử đại diện cho sự chuyển đổi mô hình cơ bản trong hiểu biết của chúng ta về thế giới vật lý.,กระบวนทัศน์,การเกิดขึ้นของกลศาสตร์ควอนตัมเป็นการเปลี่ยนกระบวนทัศน์พื้นฐานในความเข้าใจของเราเกี่ยวกับโลกทางกายภาพ,paradigma,Munculnya mekanika kuantum merepresentasikan pergeseran paradigma fundamental dalam pemahaman kita tentang dunia fisik.
empirical,The theory must be supported by empirical evidence obtained through systematic observation and experimentation.,경험적인; 실증적인,이론은 체계적인 관찰과 실험을 통해 얻은 실증적 증거에 의해 뒷받침되어야 한다.,経験的な; 実証的な,理論は体系的な観察と実験を通じて得られた経験的証拠によって裏付けられなければならない。,经验的; 实证的,理论必须由通过系统观察和实验获得的实证证据来支持。,empírico,La teoría debe estar respaldada por evidencia empírica obtenida a través de la observación y experimentación sistemáticas.,thực nghiệm,Lý thuyết phải được hỗ trợ bởi bằng chứng thực nghiệm thu được thông qua quan sát và thí nghiệm có hệ thống.,เชิงประจักษ์,ทฤษฎีต้องได้รับการสนับสนุนจากหลักฐานเชิงประจักษ์ที่ได้จากการสังเกตและการทดลองอย่างเป็นระบบ,empiris,Teori harus didukung oleh bukti empiris yang diperoleh melalui pengamatan dan eksperimentasi yang sistematis.
anomaly,The sudden temperature anomaly in the data prompted researchers to recalibrate their instruments.,이상; 변칙,데이터의 갑작스러운 온도 이상이 연구자들로 하여금 장비를 재보정하도록 촉구했다.,異常,データ中の突然の温度異常により研究者たちは機器の再校正を余儀なくされた。,异常,数据中突然出现的温度异常促使研究人员重新校准仪器。,anomalía,La anomalía repentina de temperatura en los datos llevó a los investigadores a recalibrar sus instrumentos.,dị thường,Sự dị thường nhiệt độ đột ngột trong dữ liệu khiến các nhà nghiên cứu phải hiệu chuẩn lại thiết bị.,ความผิดปกติ,ความผิดปกติของอุณหภูมิอย่างกะทันหันในข้อมูลกระตุ้นให้นักวิจัยปรับเทียบเครื่องมือใหม่,anomali,Anomali suhu yang tiba-tiba dalam data mendorong para peneliti untuk mengkalibrasi ulang instrumen mereka.
postulate,Euclid's parallel postulate sparked centuries of debate and ultimately led to the development of non-Euclidean geometries.,공준,유클리드의 평행 공준은 수세기에 걸친 논쟁을 촉발하고 궁극적으로 비유클리드 기하학의 발전으로 이어졌다.,公準,ユークリッドの平行線公準は何世紀にもわたる議論を引き起こし最終的に非ユークリッド幾何学の発展につながった。,公设,欧几里得的平行公设引发了几个世纪的辩论并最终导致了非欧几何学的发展。,postulado,El postulado de las paralelas de Euclides provocó siglos de debate y finalmente condujo al desarrollo de las geometrías no euclidianas.,định đề,Định đề song song của Euclid đã gây ra nhiều thế kỷ tranh luận và cuối cùng dẫn đến sự phát triển của hình học phi Euclid.,สมมุติฐาน,สมมุติฐานเส้นขนานของยูคลิดจุดชนวนการถกเถียงเป็นเวลาหลายศตวรรษและนำไปสู่การพัฒนาเรขาคณิตนอกยูคลิดในที่สุด,postulat,Postulat kesejajaran Euklides memicu perdebatan selama berabad-abad dan akhirnya mengarah pada pengembangan geometri non-Euklides.
corollary,A natural corollary of increased automation is the displacement of workers in routine manual occupations.,필연적 결과; 추론,자동화 증가의 필연적 결과는 일상적 육체 노동 직종 근로자의 대체이다.,当然の帰結,自動化の進展の当然の帰結は日常的な手作業職の労働者の置き換えである。,必然结果,自动化增加的一个自然结果是从事常规体力劳动的工人被取代。,corolario,Un corolario natural del aumento de la automatización es el desplazamiento de trabajadores en ocupaciones manuales rutinarias.,hệ quả tất yếu,Hệ quả tất yếu của việc tự động hóa gia tăng là sự thay thế công nhân trong các nghề lao động chân tay thường ngày.,ผลสืบเนื่อง,ผลสืบเนื่องตามธรรมชาติของระบบอัตโนมัติที่เพิ่มขึ้นคือการแทนที่แรงงานในอาชีพที่ใช้แรงงานประจำ,konsekuensi logis,Konsekuensi logis dari peningkatan otomatisasi adalah perpindahan pekerja di pekerjaan manual rutin.
topology,Topology studies the properties of geometric objects that remain unchanged under continuous deformations.,위상수학,위상수학은 연속적 변형 하에서 변하지 않는 기하학적 객체의 속성을 연구한다.,位相幾何学,位相幾何学は連続的な変形の下で変わらない幾何学的対象の性質を研究する。,拓扑学,拓扑学研究在连续变形下保持不变的几何对象的性质。,topología,La topología estudia las propiedades de los objetos geométricos que permanecen invariantes bajo deformaciones continuas.,tô pô học,Tô pô học nghiên cứu các tính chất của các đối tượng hình học không thay đổi dưới các biến dạng liên tục.,ทอพอโลยี,ทอพอโลยีศึกษาคุณสมบัติของวัตถุทางเรขาคณิตที่ไม่เปลี่ยนแปลงภายใต้การเปลี่ยนรูปอย่างต่อเนื่อง,topologi,Topologi mempelajari sifat-sifat objek geometris yang tetap tidak berubah di bawah deformasi kontinu.
eigenvalue,Computing the eigenvalues of the matrix revealed the principal directions of data variance.,고유값,행렬의 고유값을 계산하자 데이터 분산의 주요 방향이 밝혀졌다.,固有値,行列の固有値を計算することでデータ分散の主な方向が明らかになった。,特征值,计算矩阵的特征值揭示了数据方差的主要方向。,valor propio,Calcular los valores propios de la matriz reveló las direcciones principales de la varianza de los datos.,giá trị riêng,Tính các giá trị riêng của ma trận cho thấy các hướng chính của phương sai dữ liệu.,ค่าลักษณะเฉพาะ,การคำนวณค่าลักษณะเฉพาะของเมทริกซ์เผยให้เห็นทิศทางหลักของความแปรปรวนของข้อมูล,nilai eigen,Menghitung nilai eigen dari matriks mengungkapkan arah utama varians data.
convergence,The convergence of the iterative algorithm was guaranteed under certain smoothness conditions.,수렴,반복 알고리즘의 수렴은 특정 매끄러움 조건 하에서 보장되었다.,収束,反復アルゴリズムの収束は特定の滑らかさの条件の下で保証されていた。,收敛,迭代算法的收敛性在某些光滑条件下得到保证。,convergencia,La convergencia del algoritmo iterativo estaba garantizada bajo ciertas condiciones de suavidad.,sự hội tụ,Sự hội tụ của thuật toán lặp được đảm bảo dưới các điều kiện trơn nhất định.,การลู่เข้า,การลู่เข้าของอัลกอริทึมเชิงวนซ้ำได้รับการรับประกันภายใต้เงื่อนไขความเรียบบางประการ,konvergensi,Konvergensi algoritma iteratif dijamin di bawah kondisi kehalusan tertentu.
divergence,The divergence between theoretical predictions and experimental results demanded a re-examination of the model's assumptions.,발산; 분기,이론적 예측과 실험 결과 사이의 괴리는 모형 가정의 재검토를 요구했다.,発散; 乖離,理論的予測と実験結果の乖離はモデルの仮定の再検討を必要とした。,发散; 分歧,理论预测与实验结果之间的分歧要求重新审视模型的假设。,divergencia,La divergencia entre las predicciones teóricas y los resultados experimentales exigió una reexaminación de los supuestos del modelo.,sự phân kỳ,Sự phân kỳ giữa dự đoán lý thuyết và kết quả thực nghiệm đòi hỏi phải xem xét lại các giả định của mô hình.,การลู่ออก,ความแตกต่างระหว่างการคาดการณ์ทางทฤษฎีและผลการทดลองต้องการการตรวจสอบสมมติฐานของแบบจำลองใหม่,divergensi,Divergensi antara prediksi teoretis dan hasil eksperimen menuntut pemeriksaan ulang asumsi model.
stratosphere,Ozone in the stratosphere shields the Earth from the most harmful ultraviolet radiation.,성층권,성층권의 오존은 지구를 가장 해로운 자외선으로부터 보호한다.,成層圏,成層圏のオゾンは地球を最も有害な紫外線から守っている。,平流层,平流层中的臭氧保护地球免受最有害的紫外线辐射。,estratosfera,El ozono en la estratosfera protege a la Tierra de la radiación ultravioleta más dañina.,tầng bình lưu,Ozone trong tầng bình lưu bảo vệ Trái Đất khỏi bức xạ cực tím có hại nhất.,สตราโทสเฟียร์,โอโซนในสตราโทสเฟียร์ปกป้องโลกจากรังสีอัลตราไวโอเลตที่เป็นอันตรายมากที่สุด,stratosfer,Ozon di stratosfer melindungi Bumi dari radiasi ultraviolet yang paling berbahaya.
photon,A photon is a quantum of electromagnetic radiation that exhibits both wave-like and particle-like properties.,광자,광자는 파동적 성질과 입자적 성질을 모두 나타내는 전자기 복사의 양자이다.,光子,光子は波のような性質と粒子のような性質の両方を示す電磁放射の量子である。,光子,光子是电磁辐射的量子表现出波粒二象性。,fotón,Un fotón es un cuanto de radiación electromagnética que exhibe propiedades tanto ondulatorias como corpusculares.,photon,Photon là một lượng tử của bức xạ điện từ thể hiện cả tính chất sóng và tính chất hạt.,โฟตอน,โฟตอนเป็นควอนตัมของรังสีแม่เหล็กไฟฟ้าที่แสดงคุณสมบัติทั้งแบบคลื่นและแบบอนุภาค,foton,Foton adalah kuantum radiasi elektromagnetik yang menunjukkan sifat gelombang dan partikel.
protostar,A protostar forms when a dense region within a molecular cloud begins to collapse under its own gravity.,원시별,원시별은 분자 구름 내의 밀집 영역이 자체 중력에 의해 붕괴하기 시작할 때 형성된다.,原始星,原始星は分子雲内の高密度領域が自らの重力で崩壊し始める時に形成される。,原恒星,当分子云中的密集区域开始在自身引力下坍缩时原恒星就会形成。,protoestrella,Una protoestrella se forma cuando una región densa dentro de una nube molecular comienza a colapsar bajo su propia gravedad.,tiền sao,Một tiền sao hình thành khi một vùng đậm đặc trong đám mây phân tử bắt đầu sụp đổ dưới lực hấp dẫn của chính nó.,ดาวก่อเกิด,ดาวก่อเกิดก่อตัวเมื่อบริเวณที่หนาแน่นภายในเมฆโมเลกุลเริ่มยุบตัวภายใต้แรงโน้มถ่วงของตัวเอง,protobintang,Sebuah protobintang terbentuk ketika wilayah padat dalam awan molekuler mulai runtuh di bawah gravitasinya sendiri.
magnetosphere,The Earth's magnetosphere deflects most of the charged particles streaming from the Sun.,자기권,지구의 자기권은 태양에서 흘러오는 대부분의 하전 입자를 편향시킨다.,磁気圏,地球の磁気圏は太陽から流れてくるほとんどの荷電粒子を偏向させる。,磁层,地球的磁层偏转了来自太阳的大部分带电粒子。,magnetosfera,La magnetosfera de la Tierra desvía la mayoría de las partículas cargadas que provienen del Sol.,từ quyển,Từ quyển của Trái Đất làm chệch hướng phần lớn các hạt mang điện phát ra từ Mặt Trời.,แมกนีโตสเฟียร์,แมกนีโตสเฟียร์ของโลกเบี่ยงเบนอนุภาคที่มีประจุส่วนใหญ่ที่พุ่งมาจากดวงอาทิตย์,magnetosfer,Magnetosfer Bumi membelokkan sebagian besar partikel bermuatan yang mengalir dari Matahari.
accretion,The accretion disk surrounding the black hole emits intense X-ray radiation as matter spirals inward.,강착; 부착,블랙홀을 둘러싼 강착 원반은 물질이 안쪽으로 나선형으로 빨려들면서 강렬한 엑스선 복사를 방출한다.,降着,ブラックホールを取り囲む降着円盤は物質が内側に渦を巻きながら強烈なX線放射を放出する。,吸积,围绕黑洞的吸积盘在物质向内旋转时发出强烈的X射线辐射。,acreción,El disco de acreción que rodea al agujero negro emite intensa radiación de rayos X mientras la materia gira en espiral hacia adentro.,bồi tụ,Đĩa bồi tụ bao quanh hố đen phát ra bức xạ tia X cường độ cao khi vật chất xoáy vào bên trong.,การพอกพูน,จานสะสมมวลที่ล้อมรอบหลุมดำปล่อยรังสีเอกซ์เข้มข้นในขณะที่สสารวนเข้าด้านใน,akresi,Piringan akresi yang mengelilingi lubang hitam memancarkan radiasi sinar-X yang intens saat materi berputar ke dalam.
equinox,During the vernal equinox day and night are of approximately equal duration worldwide.,춘분; 추분,춘분 동안 낮과 밤의 길이는 전 세계적으로 거의 같다.,春分; 秋分,春分の日には世界中で昼と夜がほぼ同じ長さになる。,春分; 秋分,在春分期间全球的昼夜长度大致相等。,equinoccio,Durante el equinoccio de primavera el día y la noche tienen una duración aproximadamente igual en todo el mundo.,xuân phân; thu phân,Trong ngày xuân phân ngày và đêm có thời lượng gần bằng nhau trên toàn thế giới.,วิษุวัต,ในช่วงวิษุวัตฤดูใบไม้ผลิ กลางวันและกลางคืนมีระยะเวลาเท่ากันโดยประมาณทั่วโลก,ekuinoks,Selama ekuinoks vernal siang dan malam memiliki durasi yang kira-kira sama di seluruh dunia.
solstice,The summer solstice marks the longest day and shortest night of the year in the Northern Hemisphere.,하지; 동지,하지는 북반구에서 일 년 중 가장 긴 낮과 가장 짧은 밤을 나타낸다.,夏至; 冬至,夏至は北半球で一年で最も昼が長く夜が最も短い日を示す。,夏至; 冬至,夏至标志着北半球一年中最长的白天和最短的夜晚。,solsticio,El solsticio de verano marca el día más largo y la noche más corta del año en el hemisferio norte.,hạ chí; đông chí,Hạ chí đánh dấu ngày dài nhất và đêm ngắn nhất trong năm ở Bắc bán cầu.,ครีษมายัน; เหมายัน,ครีษมายันเป็นจุดที่กลางวันยาวที่สุดและกลางคืนสั้นที่สุดของปีในซีกโลกเหนือ,solstis,Solstis musim panas menandai hari terpanjang dan malam terpendek dalam setahun di Belahan Bumi Utara.
zenith,At its zenith the Roman Empire controlled an area spanning three continents.,정점; 천정,전성기에 로마 제국은 세 대륙에 걸친 영토를 지배했다.,天頂; 絶頂,絶頂期においてローマ帝国は三つの大陸にまたがる領域を支配した。,天顶; 顶峰,在其顶峰时期罗马帝国控制着横跨三个大陆的区域。,cénit,En su cénit el Imperio romano controlaba un área que abarcaba tres continentes.,đỉnh điểm,Ở đỉnh điểm Đế chế La Mã kiểm soát một vùng lãnh thổ trải dài qua ba lục địa.,จุดสูงสุด,ที่จุดสูงสุด จักรวรรดิโรมันควบคุมพื้นที่ครอบคลุมสามทวีป,puncak,Pada puncaknya Kekaisaran Romawi menguasai wilayah yang membentang di tiga benua.
peripatetic,The peripatetic professor divided his time among three universities on two different continents.,순회하는; 떠돌아다니는,순회 교수는 두 대륙의 세 대학을 오가며 시간을 나누었다.,遍歴する,遍歴する教授は二つの異なる大陸にある三つの大学で時間を分けていた。,游历的,这位四处奔波的教授在两个不同大陆的三所大学之间分配时间。,peripatético,El profesor peripatético dividía su tiempo entre tres universidades en dos continentes diferentes.,lưu động,Vị giáo sư lưu động chia thời gian giữa ba trường đại học ở hai lục địa khác nhau.,เร่ร่อน,ศาสตราจารย์ผู้เร่ร่อนแบ่งเวลาไปมาระหว่างสามมหาวิทยาลัยในสองทวีปที่แตกต่างกัน,keliling,Profesor keliling itu membagi waktunya di antara tiga universitas di dua benua yang berbeda.
plebiscite,The government held a plebiscite to gauge public opinion on the proposed constitutional amendment.,국민투표,정부는 제안된 헌법 개정안에 대한 여론을 측정하기 위해 국민투표를 실시했다.,国民投票,政府は提案された憲法改正に関する世論を測るために国民投票を実施した。,全民公投,政府举行了全民公投以衡量公众对拟议宪法修正案的意见。,plebiscito,El gobierno celebró un plebiscito para medir la opinión pública sobre la enmienda constitucional propuesta.,trưng cầu dân ý,Chính phủ tổ chức trưng cầu dân ý để đánh giá ý kiến công chúng về sửa đổi hiến pháp được đề xuất.,การลงประชามติ,รัฐบาลจัดการลงประชามติเพื่อวัดความคิดเห็นของสาธารณชนเกี่ยวกับการแก้ไขรัฐธรรมนูญที่เสนอ,plebisit,Pemerintah mengadakan plebisit untuk mengukur opini publik tentang amendemen konstitusi yang diusulkan.
hegemony,Critics argued that the superpower sought cultural hegemony through its dominance of global media.,패권,비평가들은 그 초강대국이 글로벌 미디어 지배를 통해 문화적 패권을 추구한다고 주장했다.,覇権,批判者はその超大国がグローバルメディアの支配を通じて文化的覇権を求めていると論じた。,霸权,批评人士认为该超级大国通过主导全球媒体来寻求文化霸权。,hegemonía,Los críticos argumentaban que la superpotencia buscaba la hegemonía cultural a través de su dominio de los medios globales.,bá quyền,Các nhà phê bình cho rằng siêu cường tìm kiếm bá quyền văn hóa thông qua sự thống trị của phương tiện truyền thông toàn cầu.,อำนาจนำ,นักวิจารณ์โต้แย้งว่ามหาอำนาจแสวงหาอำนาจนำทางวัฒนธรรมผ่านการครอบงำสื่อระดับโลก,hegemoni,Para kritikus berpendapat bahwa negara adidaya itu mengejar hegemoni budaya melalui dominasinya atas media global.
demagoguery,His fiery speeches were dismissed by serious analysts as mere demagoguery designed to exploit public fears.,선동,그의 격렬한 연설은 대중의 공포를 이용하려는 단순한 선동으로 진지한 분석가들에 의해 일축되었다.,扇動政治,彼の激しい演説は大衆の恐怖を利用するための単なる扇動として真剣な分析家に一蹴された。,蛊惑人心,他的激烈演说被严肃的分析人士斥为利用公众恐惧的蛊惑人心之术。,demagogia,Sus discursos encendidos fueron desestimados por analistas serios como mera demagogia diseñada para explotar los miedos públicos.,mị dân,Những bài phát biểu nảy lửa của ông bị các nhà phân tích nghiêm túc coi là sự mị dân nhằm khai thác nỗi sợ hãi của công chúng.,การปลุกปั่น,สุนทรพจน์อันเร่าร้อนของเขาถูกนักวิเคราะห์ที่จริงจังมองว่าเป็นเพียงการปลุกปั่นที่ออกแบบมาเพื่อฉวยโอกาสจากความกลัวของสาธารณชน,demagogi,Pidato-pidato berapi-apinya dianggap oleh analis serius sebagai demagogi belaka yang dirancang untuk mengeksploitasi ketakutan publik.
filibuster,The opposition used a filibuster to delay the vote on the controversial legislation for three consecutive days.,의사진행 방해,야당은 논란이 되는 법안에 대한 표결을 3일 연속 지연시키기 위해 의사진행 방해를 사용했다.,フィリバスター; 議事妨害,野党は論争のある法案の投票を3日連続で遅らせるためにフィリバスターを使用した。,冗长演说阻挠议事,反对派利用冗长演说阻挠议事将有争议的法案投票推迟了三天。,obstruccionismo,La oposición utilizó un obstruccionismo para retrasar la votación sobre la legislación controvertida durante tres días consecutivos.,cản trở nghị sự,Phe đối lập sử dụng chiến thuật cản trở nghị sự để trì hoãn cuộc bỏ phiếu về dự luật gây tranh cãi trong ba ngày liên tiếp.,การอภิปรายยื้อเวลา,ฝ่ายค้านใช้การอภิปรายยื้อเวลาเพื่อถ่วงเวลาการลงคะแนนเสียงเกี่ยวกับกฎหมายที่เป็นข้อถกเถียงเป็นเวลาสามวันติดต่อกัน,filibuster,Oposisi menggunakan filibuster untuk menunda pemungutan suara tentang undang-undang kontroversial selama tiga hari berturut-turut.
quorum,The emergency session could not proceed because the assembly failed to reach the necessary quorum.,정족수,총회가 필요한 정족수를 충족하지 못해 긴급 회의를 진행할 수 없었다.,定足数,議会が必要な定足数に達しなかったため緊急会合を進めることができなかった。,法定人数,紧急会议无法进行因为大会未能达到所需的法定人数。,quórum,La sesión de emergencia no pudo continuar porque la asamblea no alcanzó el quórum necesario.,số đại biểu tối thiểu,Phiên họp khẩn cấp không thể tiến hành vì đại hội không đạt được số đại biểu tối thiểu cần thiết.,องค์ประชุม,การประชุมฉุกเฉินไม่สามารถดำเนินต่อได้เพราะสภาไม่สามารถรวบรวมจำนวนองค์ประชุมที่จำเป็น,kuorum,Sesi darurat tidak dapat dilanjutkan karena majelis gagal mencapai kuorum yang diperlukan.
manifesto,The party's manifesto outlined a comprehensive plan for universal healthcare and educational reform.,선언문; 성명서,당의 선언문은 보편적 의료 보장과 교육 개혁을 위한 종합적인 계획을 개괄했다.,マニフェスト,党のマニフェストは国民皆保険と教育改革のための包括的な計画を概説した。,宣言,该党的宣言概述了全民医疗保健和教育改革的综合计划。,manifiesto,El manifiesto del partido delineó un plan integral para la salud universal y la reforma educativa.,tuyên ngôn,Tuyên ngôn của đảng phác thảo một kế hoạch toàn diện cho y tế toàn dân và cải cách giáo dục.,แถลงการณ์,แถลงการณ์ของพรรคระบุแผนที่ครอบคลุมสำหรับการดูแลสุขภาพถ้วนหน้าและการปฏิรูปการศึกษา,manifesto,Manifesto partai menguraikan rencana komprehensif untuk layanan kesehatan universal dan reformasi pendidikan.
emancipation,The emancipation of enslaved peoples marked a pivotal turning point in the nation's moral and legal history.,해방,노예 상태의 사람들의 해방은 국가의 도덕적·법적 역사에서 중대한 전환점을 이뤘다.,解放,被奴隷化された人々の解放は国の道徳的・法的歴史における画期的な転換点となった。,解放,被奴役人民的解放标志着该国道德和法律史上的关键转折点。,emancipación,La emancipación de los pueblos esclavizados marcó un punto de inflexión crucial en la historia moral y legal de la nación.,giải phóng,Sự giải phóng những người bị nô dịch đánh dấu bước ngoặt quan trọng trong lịch sử đạo đức và pháp lý của quốc gia.,การปลดปล่อย,การปลดปล่อยผู้ถูกกดขี่เป็นทาสเป็นจุดเปลี่ยนสำคัญในประวัติศาสตร์ทางศีลธรรมและกฎหมายของชาติ,emansipasi,Emansipasi orang-orang yang diperbudak menandai titik balik penting dalam sejarah moral dan hukum bangsa.
