jurisprudence,The professor's lecture on jurisprudence explored the philosophical foundations of legal systems.,법학,그 교수의 법학 강의는 법 체계의 철학적 기초를 탐구했다.,法学,その教授の法学の講義は法体系の哲学的基礎を探究した。,法理学,那位教授的法理学讲座探讨了法律体系的哲学基础。,jurisprudencia,La conferencia del profesor sobre jurisprudencia exploró los fundamentos filosóficos de los sistemas legales.,luật học,Bài giảng của giáo sư về luật học đã khám phá nền tảng triết học của các hệ thống pháp luật.,นิติศาสตร์,การบรรยายของศาสตราจารย์เรื่องนิติศาสตร์ได้สำรวจรากฐานทางปรัชญาของระบบกฎหมาย,yurisprudensi,Kuliah profesor tentang yurisprudensi mengeksplorasi dasar filosofis sistem hukum.
myth,In Barthes's framework myth is a second-order semiotic system that naturalizes culturally constructed meanings.,신화,바르트의 체계에서 신화는 문화적으로 구성된 의미를 자연화하는 이차적 기호 체계이다.,神話,バルトの枠組みにおいて神話は文化的に構築された意味を自然化する二次的記号体系である。,神话,在巴特的框架中，神话是一个将文化建构的意义自然化的二级符号系统。,mito,En el marco de Barthes el mito es un sistema semiótico de segundo orden que naturaliza significados culturalmente construidos.,huyền thoại,"Trong khuôn khổ của Barthes, huyền thoại là một hệ thống ký hiệu bậc hai tự nhiên hóa các ý nghĩa được xây dựng về mặt văn hóa.",มายาคติ,ในกรอบของบาร์ตส์ มายาคติเป็นระบบสัญศาสตร์ระดับที่สองที่ทำให้ความหมายที่สร้างขึ้นทางวัฒนธรรมดูเป็นธรรมชาติ,mitos,"Dalam kerangka Barthes, mitos adalah sistem semiotik tingkat kedua yang menaturalisasi makna yang dikonstruksi secara budaya."
bricolage,Bricolage in semiotics describes the creative reassembly of existing signs to produce new cultural meanings.,브리콜라주,기호학에서 브리콜라주는 새로운 문화적 의미를 생산하기 위해 기존 기호를 창의적으로 재조합하는 것을 설명한다.,ブリコラージュ,記号学におけるブリコラージュは新しい文化的意味を生み出すために既存の記号を創造的に再構成することを記述する。,拼贴,符号学中的拼贴描述了对现有符号的创造性重组以产生新的文化意义。,bricolaje,El bricolaje en semiótica describe el reensamblaje creativo de signos existentes para producir nuevos significados culturales.,bricolage,Bricolage trong ký hiệu học mô tả việc lắp ráp lại sáng tạo các ký hiệu hiện có để tạo ra ý nghĩa văn hóa mới.,บริโกลาจ,บริโกลาจในสัญศาสตร์อธิบายการประกอบใหม่อย่างสร้างสรรค์ของสัญญะที่มีอยู่เพื่อสร้างความหมายทางวัฒนธรรมใหม่,brikolase,Brikolase dalam semiotika menggambarkan perakitan ulang kreatif tanda-tanda yang ada untuk menghasilkan makna budaya baru.
semiosphere,The semiosphere is the conceptual space within which all sign processes and communicative acts occur.,기호권,기호권은 모든 기호 과정과 의사소통 행위가 발생하는 개념적 공간이다.,セミオスフィア,セミオスフィアはすべての記号過程とコミュニケーション行為が起こる概念的空間である。,符号圈,符号圈是所有符号过程和交际行为发生的概念空间。,semiosfera,La semiosfera es el espacio conceptual dentro del cual ocurren todos los procesos de signos y actos comunicativos.,bầu ký hiệu,Bầu ký hiệu là không gian khái niệm trong đó tất cả các quá trình ký hiệu và hành vi giao tiếp diễn ra.,สัญญะโลก,สัญญะโลกคือพื้นที่เชิงแนวคิดที่กระบวนการสัญญะและการสื่อสารทั้งหมดเกิดขึ้น,semiosfer,Semiosfer adalah ruang konseptual tempat semua proses tanda dan tindakan komunikatif terjadi.
deconstruction,Deconstruction challenges fixed meanings by revealing the inherent instability within sign systems.,해체,해체는 기호 체계 내의 본질적 불안정성을 드러냄으로써 고정된 의미에 도전한다.,脱構築,脱構築は記号体系内の本質的な不安定性を明らかにすることで固定された意味に挑戦する。,解构,解构通过揭示符号系统内在的不稳定性来挑战固定意义。,deconstrucción,La deconstrucción desafía los significados fijos revelando la inestabilidad inherente dentro de los sistemas de signos.,giải cấu trúc,Giải cấu trúc thách thức các ý nghĩa cố định bằng cách tiết lộ sự bất ổn vốn có trong các hệ thống ký hiệu.,การรื้อสร้าง,การรื้อสร้างท้าทายความหมายที่ตายตัวโดยการเปิดเผยความไม่มั่นคงโดยธรรมชาติภายในระบบสัญญะ,dekonstruksi,Dekonstruksi menantang makna yang tetap dengan mengungkapkan ketidakstabilan inheren dalam sistem tanda.
ethnocentrism,Ethnocentrism is the tendency to evaluate other cultures according to the standards of one's own culture.,자문화 중심주의,자문화 중심주의는 자신의 문화 기준에 따라 다른 문화를 평가하는 경향이다.,自民族中心主義,自民族中心主義は自分の文化の基準に従って他の文化を評価する傾向である。,民族中心主义,民族中心主义是按照自身文化标准评价其他文化的倾向。,etnocentrismo,El etnocentrismo es la tendencia a evaluar otras culturas según los estándares de la propia cultura.,chủ nghĩa duy dân tộc,Chủ nghĩa duy dân tộc là xu hướng đánh giá các nền văn hóa khác theo tiêu chuẩn của văn hóa mình.,ชาติพันธุ์นิยม,ชาติพันธุ์นิยมคือแนวโน้มในการประเมินวัฒนธรรมอื่นตามมาตรฐานของวัฒนธรรมตนเอง,etnosentrisme,Etnosentrisme adalah kecenderungan mengevaluasi budaya lain berdasarkan standar budaya sendiri.
cultural relativism,Cultural relativism holds that beliefs and practices should be understood within their own cultural framework.,문화 상대주의,문화 상대주의는 신념과 관행이 그 자체의 문화적 틀 안에서 이해되어야 한다고 주장한다.,文化相対主義,文化相対主義は信念や慣行がそれぞれの文化的枠組みの中で理解されるべきだと主張する。,文化相对主义,文化相对主义认为信仰和实践应在其自身的文化框架内加以理解。,relativismo cultural,El relativismo cultural sostiene que las creencias y prácticas deben entenderse dentro de su propio marco cultural.,chủ nghĩa tương đối văn hóa,Chủ nghĩa tương đối văn hóa cho rằng các tín ngưỡng và thực hành nên được hiểu trong khuôn khổ văn hóa của chúng.,สัมพัทธนิยมทางวัฒนธรรม,สัมพัทธนิยมทางวัฒนธรรมถือว่าความเชื่อและการปฏิบัติควรเข้าใจภายในกรอบวัฒนธรรมของตนเอง,relativisme budaya,Relativisme budaya berpendapat bahwa kepercayaan dan praktik harus dipahami dalam kerangka budaya mereka sendiri.
participant observation,Participant observation requires the researcher to immerse themselves in a community's daily activities.,참여 관찰,참여 관찰은 연구자가 공동체의 일상 활동에 몰입할 것을 요구한다.,参与観察,参与観察は研究者がコミュニティの日常活動に没入することを要求する。,参与观察,参与观察要求研究者沉浸在社区的日常活动中。,observación participante,La observación participante requiere que el investigador se sumerja en las actividades diarias de una comunidad.,quan sát tham dự,Quan sát tham dự đòi hỏi nhà nghiên cứu phải đắm mình trong các hoạt động hàng ngày của cộng đồng.,การสังเกตแบบมีส่วนร่วม,การสังเกตแบบมีส่วนร่วมต้องการให้นักวิจัยเข้าไปมีส่วนร่วมในกิจกรรมประจำวันของชุมชน,observasi partisipan,Observasi partisipan mengharuskan peneliti untuk membenamkan diri dalam kegiatan sehari-hari komunitas.
kinship system,Kinship systems define social relationships and obligations based on descent and marriage ties.,친족 체계,친족 체계는 혈통과 결혼 관계를 기반으로 사회적 관계와 의무를 정의한다.,親族体系,親族体系は血統と婚姻関係に基づいて社会的関係と義務を定義する。,亲属制度,亲属制度根据血统和婚姻关系定义社会关系和义务。,sistema de parentesco,Los sistemas de parentesco definen las relaciones sociales y obligaciones basadas en lazos de descendencia y matrimonio.,hệ thống thân tộc,Hệ thống thân tộc xác định các mối quan hệ xã hội và nghĩa vụ dựa trên quan hệ huyết thống và hôn nhân.,ระบบเครือญาติ,ระบบเครือญาติกำหนดความสัมพันธ์ทางสังคมและภาระผูกพันบนพื้นฐานของสายเลือดและความสัมพันธ์ทางการสมรส,sistem kekerabatan,Sistem kekerabatan mendefinisikan hubungan sosial dan kewajiban berdasarkan ikatan keturunan dan pernikahan.
liminality,Liminality describes the transitional phase in a rite of passage where participants exist between social states.,리미널리티,리미널리티는 참여자들이 사회적 상태 사이에 존재하는 통과의례의 전환 단계를 설명한다.,リミナリティ,リミナリティは参加者が社会的状態の間に存在する通過儀礼における移行段階を記述する。,阈限,阈限描述了通过仪式中参与者存在于社会状态之间的过渡阶段。,liminalidad,La liminalidad describe la fase de transición en un rito de paso donde los participantes existen entre estados sociales.,tính ngưỡng,Tính ngưỡng mô tả giai đoạn chuyển tiếp trong nghi thức chuyển đổi nơi người tham gia tồn tại giữa các trạng thái xã hội.,ลิมินอลลิตี,ลิมินอลลิตีอธิบายขั้นตอนเปลี่ยนผ่านในพิธีกรรมแห่งการเปลี่ยนผ่านที่ผู้เข้าร่วมดำรงอยู่ระหว่างสถานะทางสังคม,liminalitas,Liminalitas menggambarkan fase transisi dalam ritus peralihan di mana peserta berada di antara status sosial.
reciprocity,Reciprocity is a fundamental principle of social exchange that sustains bonds between individuals and groups.,호혜성,호혜성은 개인과 집단 간의 유대를 유지하는 사회적 교환의 근본 원칙이다.,互酬性,互酬性は個人や集団の間の絆を維持する社会的交換の基本原則である。,互惠,互惠是维持个人和群体之间纽带的社会交换的基本原则。,reciprocidad,La reciprocidad es un principio fundamental del intercambio social que sostiene los vínculos entre individuos y grupos.,sự có đi có lại,Sự có đi có lại là nguyên tắc cơ bản của trao đổi xã hội duy trì mối liên kết giữa các cá nhân và nhóm.,การแลกเปลี่ยนซึ่งกันและกัน,การแลกเปลี่ยนซึ่งกันและกันเป็นหลักการพื้นฐานของการแลกเปลี่ยนทางสังคมที่ค้ำจุนความผูกพันระหว่างบุคคลและกลุ่ม,resiprositas,Resiprositas adalah prinsip dasar pertukaran sosial yang memelihara ikatan antara individu dan kelompok.
exogamy,Exogamy is the social norm requiring individuals to marry outside their own clan or social group.,족외혼,족외혼은 개인이 자신의 씨족이나 사회 집단 밖에서 결혼해야 하는 사회적 규범이다.,族外婚,族外婚は個人が自分の氏族や社会集団の外で結婚することを要求する社会規範である。,族外婚,族外婚是要求个人在自己的氏族或社会群体之外结婚的社会规范。,exogamia,La exogamia es la norma social que requiere que los individuos se casen fuera de su propio clan o grupo social.,ngoại hôn,Ngoại hôn là chuẩn mực xã hội yêu cầu cá nhân kết hôn ngoài thị tộc hoặc nhóm xã hội của mình.,การแต่งงานนอกกลุ่ม,การแต่งงานนอกกลุ่มเป็นบรรทัดฐานทางสังคมที่กำหนดให้บุคคลแต่งงานนอกเผ่าหรือกลุ่มสังคมของตนเอง,eksogami,Eksogami adalah norma sosial yang mengharuskan individu menikah di luar klan atau kelompok sosial mereka sendiri.
totemism,Totemism establishes symbolic associations between social groups and natural entities such as animals or plants.,토테미즘,토테미즘은 사회 집단과 동물이나 식물과 같은 자연 존재 사이의 상징적 연관을 설정한다.,トーテミズム,トーテミズムは社会集団と動物や植物などの自然の存在との間に象徴的な関連を確立する。,图腾崇拜,图腾崇拜在社会群体与动物或植物等自然实体之间建立象征性联系。,totemismo,El totemismo establece asociaciones simbólicas entre grupos sociales y entidades naturales como animales o plantas.,tô tem giáo,Tô tem giáo thiết lập các liên kết biểu tượng giữa các nhóm xã hội và các thực thể tự nhiên như động vật hoặc thực vật.,ลัทธิโทเทม,ลัทธิโทเทมสร้างความเชื่อมโยงเชิงสัญลักษณ์ระหว่างกลุ่มสังคมกับสิ่งมีชีวิตในธรรมชาติเช่นสัตว์หรือพืช,totemisme,Totemisme membangun asosiasi simbolik antara kelompok sosial dan entitas alam seperti hewan atau tumbuhan.
acculturation,Acculturation occurs when prolonged contact between cultures leads to the adoption of new cultural traits.,문화변용,문화변용은 문화 간의 장기적 접촉이 새로운 문화적 특성의 채택으로 이어질 때 발생한다.,文化変容,文化変容は文化間の長期的な接触が新しい文化的特性の採用につながるときに起こる。,文化涵化,文化涵化发生在文化之间的长期接触导致采纳新的文化特征时。,aculturación,La aculturación ocurre cuando el contacto prolongado entre culturas lleva a la adopción de nuevos rasgos culturales.,tiếp biến văn hóa,Tiếp biến văn hóa xảy ra khi sự tiếp xúc kéo dài giữa các nền văn hóa dẫn đến việc tiếp nhận các đặc điểm văn hóa mới.,การรับวัฒนธรรม,การรับวัฒนธรรมเกิดขึ้นเมื่อการติดต่อระยะยาวระหว่างวัฒนธรรมนำไปสู่การรับลักษณะทางวัฒนธรรมใหม่,akulturasi,Akulturasi terjadi ketika kontak yang berkepanjangan antara budaya mengarah pada adopsi ciri-ciri budaya baru.
potlatch,The potlatch is a ceremonial feast involving the elaborate redistribution of wealth to affirm social status.,포틀래치,포틀래치는 사회적 지위를 확인하기 위해 부의 정교한 재분배를 포함하는 의례적 잔치이다.,ポトラッチ,ポトラッチは社会的地位を確認するために富の精巧な再分配を伴う儀礼的な宴である。,夸富宴,夸富宴是一种涉及精心重新分配财富以确认社会地位的仪式性盛宴。,potlatch,El potlatch es una fiesta ceremonial que involucra la elaborada redistribución de riqueza para afirmar el estatus social.,potlatch,Potlatch là một bữa tiệc nghi lễ bao gồm việc phân phối lại tài sản một cách công phu để khẳng định địa vị xã hội.,พอตแลตช์,พอตแลตช์คืองานเลี้ยงเชิงพิธีกรรมที่เกี่ยวข้องกับการแจกจ่ายทรัพย์สมบัติอย่างประณีตเพื่อยืนยันสถานะทางสังคม,potlatch,Potlatch adalah pesta seremonial yang melibatkan redistribusi kekayaan secara rumit untuk menegaskan status sosial.
structural functionalism,Structural functionalism analyzes how social institutions contribute to the stability of the overall social system.,구조기능주의,구조기능주의는 사회 제도가 전체 사회 체계의 안정에 어떻게 기여하는지를 분석한다.,構造機能主義,構造機能主義は社会制度が社会体系全体の安定にどのように寄与するかを分析する。,结构功能主义,结构功能主义分析社会制度如何促进整体社会系统的稳定。,funcionalismo estructural,El funcionalismo estructural analiza cómo las instituciones sociales contribuyen a la estabilidad del sistema social general.,chủ nghĩa chức năng cấu trúc,Chủ nghĩa chức năng cấu trúc phân tích cách các thể chế xã hội đóng góp vào sự ổn định của hệ thống xã hội tổng thể.,โครงสร้างหน้าที่นิยม,โครงสร้างหน้าที่นิยมวิเคราะห์ว่าสถาบันทางสังคมมีส่วนช่วยต่อเสถียรภาพของระบบสังคมโดยรวมอย่างไร,fungsionalisme struktural,Fungsionalisme struktural menganalisis bagaimana institusi sosial berkontribusi terhadap stabilitas sistem sosial secara keseluruhan.
thick description,Thick description provides a richly detailed account of social behavior including its context and meaning.,두꺼운 기술,두꺼운 기술은 맥락과 의미를 포함하여 사회적 행동에 대한 풍부하고 상세한 설명을 제공한다.,厚い記述,厚い記述は社会的行動についてその文脈と意味を含む豊かで詳細な説明を提供する。,深描,深描提供了包含语境和意义在内的对社会行为的丰富详细描述。,descripción densa,La descripción densa proporciona un relato ricamente detallado del comportamiento social incluyendo su contexto y significado.,mô tả dày,Mô tả dày cung cấp một tường thuật chi tiết phong phú về hành vi xã hội bao gồm bối cảnh và ý nghĩa của nó.,การพรรณนาเชิงลึก,การพรรณนาเชิงลึกให้คำอธิบายอย่างละเอียดเกี่ยวกับพฤติกรรมทางสังคมรวมถึงบริบทและความหมาย,deskripsi tebal,Deskripsi tebal memberikan catatan yang sangat rinci tentang perilaku sosial termasuk konteks dan maknanya.
symbolic capital,Symbolic capital refers to noneconomic resources such as prestige and honor that confer social power.,상징 자본,상징 자본은 사회적 권력을 부여하는 명성과 명예와 같은 비경제적 자원을 가리킨다.,象徴資本,象徴資本は社会的権力を付与する名声や名誉などの非経済的資源を指す。,象征资本,象征资本指的是赋予社会权力的非经济资源，如声望和荣誉。,capital simbólico,El capital simbólico se refiere a recursos no económicos como el prestigio y el honor que confieren poder social.,vốn biểu tượng,Vốn biểu tượng đề cập đến các nguồn lực phi kinh tế như uy tín và danh dự mang lại quyền lực xã hội.,ทุนเชิงสัญลักษณ์,ทุนเชิงสัญลักษณ์หมายถึงทรัพยากรที่ไม่ใช่เศรษฐกิจเช่นเกียรติยศและเกียรติภูมิที่มอบอำนาจทางสังคม,modal simbolik,Modal simbolik mengacu pada sumber daya nonekonomi seperti prestise dan kehormatan yang memberikan kekuatan sosial.
habitus,Habitus encompasses the deeply ingrained dispositions and practices shaped by one's social environment.,아비투스,아비투스는 개인의 사회적 환경에 의해 형성된 깊이 뿌리박힌 성향과 관행을 포괄한다.,ハビトゥス,ハビトゥスは個人の社会的環境によって形成された深く根付いた性向と慣行を包含する。,惯习,惯习涵盖了由个人社会环境塑造的根深蒂固的倾向和实践。,habitus,El habitus abarca las disposiciones y prácticas profundamente arraigadas moldeadas por el entorno social de uno.,habitus,Habitus bao gồm các thiên hướng và thực hành ăn sâu được hình thành bởi môi trường xã hội của mỗi người.,ฮาบิทัส,ฮาบิทัสครอบคลุมนิสัยและการปฏิบัติที่ฝังลึกซึ่งถูกหล่อหลอมโดยสภาพแวดล้อมทางสังคม,habitus,Habitus mencakup disposisi dan praktik yang tertanam mendalam yang dibentuk oleh lingkungan sosial seseorang.
subaltern,The subaltern refers to marginalized social groups excluded from hegemonic power structures.,하위주체,하위주체는 패권적 권력 구조에서 배제된 소외된 사회 집단을 지칭한다.,サバルタン,サバルタンは覇権的権力構造から排除された周縁化された社会集団を指す。,庶民,庶民指的是被排除在霸权权力结构之外的边缘化社会群体。,subalterno,El subalterno se refiere a grupos sociales marginalizados excluidos de las estructuras de poder hegemónicas.,hạ đẳng,Hạ đẳng đề cập đến các nhóm xã hội bị gạt ra ngoài lề bị loại trừ khỏi các cấu trúc quyền lực bá quyền.,ผู้ด้อยอำนาจ,ผู้ด้อยอำนาจหมายถึงกลุ่มสังคมชายขอบที่ถูกกีดกันจากโครงสร้างอำนาจที่ครอบงำ,subaltern,Subaltern mengacu pada kelompok sosial terpinggirkan yang dikecualikan dari struktur kekuasaan hegemonik.
emic perspective,An emic perspective analyzes cultural phenomena from the internal viewpoint of the community being studied.,이믹 관점,이믹 관점은 연구 대상 공동체의 내부 관점에서 문화 현상을 분석한다.,エミック的視点,エミック的視点は研究対象のコミュニティの内部の視点から文化現象を分析する。,主位视角,主位视角从被研究社区的内部角度分析文化现象。,perspectiva émica,Una perspectiva émica analiza los fenómenos culturales desde el punto de vista interno de la comunidad estudiada.,quan điểm chủ vị,Quan điểm chủ vị phân tích các hiện tượng văn hóa từ quan điểm nội bộ của cộng đồng được nghiên cứu.,มุมมองเชิงเอมิก,มุมมองเชิงเอมิกวิเคราะห์ปรากฏการณ์ทางวัฒนธรรมจากมุมมองภายในของชุมชนที่ถูกศึกษา,perspektif emik,Perspektif emik menganalisis fenomena budaya dari sudut pandang internal komunitas yang diteliti.
etic perspective,An etic perspective applies cross-cultural categories developed by the external observer to analyze social behavior.,에틱 관점,에틱 관점은 외부 관찰자가 개발한 비교문화적 범주를 적용하여 사회적 행동을 분석한다.,エティック的視点,エティック的視点は外部の観察者が開発した比較文化的カテゴリーを適用して社会的行動を分析する。,客位视角,客位视角运用外部观察者开发的跨文化范畴来分析社会行为。,perspectiva ética,Una perspectiva ética aplica categorías transculturales desarrolladas por el observador externo para analizar el comportamiento social.,quan điểm khách vị,Quan điểm khách vị áp dụng các phạm trù xuyên văn hóa do nhà quan sát bên ngoài phát triển để phân tích hành vi xã hội.,มุมมองเชิงเอติก,มุมมองเชิงเอติกใช้หมวดหมู่ข้ามวัฒนธรรมที่พัฒนาโดยผู้สังเกตภายนอกเพื่อวิเคราะห์พฤติกรรมทางสังคม,perspektif etik,Perspektif etik menerapkan kategori lintas budaya yang dikembangkan oleh pengamat eksternal untuk menganalisis perilaku sosial.
syncretism,Syncretism blends elements from disparate cultural or religious traditions into a unified new practice.,혼합주의,혼합주의는 이질적인 문화적 또는 종교적 전통의 요소를 통합된 새로운 실천으로 혼합한다.,シンクレティズム,シンクレティズムは異なる文化的・宗教的伝統の要素を統合された新しい実践に融合させる。,融合主义,融合主义将不同文化或宗教传统的元素融合成统一的新实践。,sincretismo,El sincretismo mezcla elementos de tradiciones culturales o religiosas dispares en una nueva práctica unificada.,tổng hợp tín ngưỡng,Tổng hợp tín ngưỡng pha trộn các yếu tố từ các truyền thống văn hóa hoặc tôn giáo khác nhau thành một thực hành mới thống nhất.,การผสมผสานทางวัฒนธรรม,การผสมผสานทางวัฒนธรรมผสมองค์ประกอบจากประเพณีทางวัฒนธรรมหรือศาสนาที่แตกต่างกันเป็นการปฏิบัติใหม่ที่รวมเป็นหนึ่ง,sinkretisme,Sinkretisme memadukan elemen-elemen dari tradisi budaya atau agama yang berbeda menjadi praktik baru yang terpadu.
patrilineal descent,Patrilineal descent traces ancestry and inheritance exclusively through the male line.,부계혈통,부계혈통은 남성 계통을 통해서만 조상과 상속을 추적한다.,父系出自,父系出自は男系を通じてのみ祖先と相続を追跡する。,父系血统,父系血统仅通过男性血统追溯祖先和继承。,descendencia patrilineal,La descendencia patrilineal traza la ascendencia y la herencia exclusivamente a través de la línea masculina.,dòng dõi phụ hệ,Dòng dõi phụ hệ truy tìm tổ tiên và thừa kế chỉ thông qua dòng nam giới.,สายเลือดฝ่ายบิดา,สายเลือดฝ่ายบิดาสืบเชื้อสายและมรดกผ่านสายผู้ชายเท่านั้น,keturunan patrilineal,Keturunan patrilineal menelusuri nenek moyang dan warisan secara eksklusif melalui garis laki-laki.
matrilineal descent,Matrilineal descent traces group membership and property rights through the female line.,모계혈통,모계혈통은 여성 계통을 통해 집단 소속과 재산권을 추적한다.,母系出自,母系出自は女系を通じて集団の帰属と財産権を追跡する。,母系血统,母系血统通过女性血统追溯群体成员资格和财产权利。,descendencia matrilineal,La descendencia matrilineal traza la pertenencia al grupo y los derechos de propiedad a través de la línea femenina.,dòng dõi mẫu hệ,Dòng dõi mẫu hệ truy tìm tư cách thành viên nhóm và quyền tài sản thông qua dòng nữ giới.,สายเลือดฝ่ายมารดา,สายเลือดฝ่ายมารดาสืบสมาชิกภาพกลุ่มและสิทธิในทรัพย์สินผ่านสายผู้หญิง,keturunan matrilineal,Keturunan matrilineal menelusuri keanggotaan kelompok dan hak properti melalui garis perempuan.
hegemony,Hegemony operates when a dominant group maintains control through cultural consent rather than coercion.,헤게모니,헤게모니는 지배적 집단이 강압이 아닌 문화적 동의를 통해 통제를 유지할 때 작동한다.,ヘゲモニー,ヘゲモニーは支配的な集団が強制ではなく文化的同意を通じて支配を維持するときに機能する。,霸权,霸权在主导群体通过文化认同而非强制手段维持控制时发挥作用。,hegemonía,La hegemonía opera cuando un grupo dominante mantiene el control a través del consentimiento cultural en lugar de la coerción.,bá quyền,Bá quyền hoạt động khi một nhóm thống trị duy trì quyền kiểm soát thông qua sự đồng thuận văn hóa thay vì ép buộc.,อำนาจนำ,อำนาจนำทำงานเมื่อกลุ่มที่มีอิทธิพลรักษาการควบคุมผ่านความยินยอมทางวัฒนธรรมแทนการบังคับ,hegemoni,Hegemoni beroperasi ketika kelompok dominan mempertahankan kendali melalui persetujuan budaya daripada paksaan.
social stratification,Social stratification creates hierarchical layers within society based on wealth and access to resources.,사회 계층화,사회 계층화는 부와 자원 접근성에 기반하여 사회 내에 위계적 계층을 만든다.,社会的成層,社会的成層は富と資源へのアクセスに基づいて社会内に階層的な層を作り出す。,社会分层,社会分层基于财富和资源获取在社会内部创建等级层次。,estratificación social,La estratificación social crea capas jerárquicas dentro de la sociedad basadas en la riqueza y el acceso a los recursos.,phân tầng xã hội,Phân tầng xã hội tạo ra các tầng lớp thứ bậc trong xã hội dựa trên sự giàu có và khả năng tiếp cận tài nguyên.,การแบ่งชั้นทางสังคม,การแบ่งชั้นทางสังคมสร้างชั้นตามลำดับขั้นภายในสังคมตามความมั่งคั่งและการเข้าถึงทรัพยากร,stratifikasi sosial,Stratifikasi sosial menciptakan lapisan hierarkis dalam masyarakat berdasarkan kekayaan dan akses terhadap sumber daya.
gift economy,A gift economy circulates goods and services through obligatory giving rather than market transactions.,선물 경제,선물 경제는 시장 거래가 아닌 의무적 증여를 통해 재화와 서비스를 순환시킨다.,贈与経済,贈与経済は市場取引ではなく義務的な贈与を通じて財やサービスを循環させる。,礼物经济,礼物经济通过义务性赠与而非市场交易来流通商品和服务。,economía del don,Una economía del don circula bienes y servicios a través de la donación obligatoria en lugar de transacciones de mercado.,kinh tế tặng phẩm,Kinh tế tặng phẩm lưu thông hàng hóa và dịch vụ thông qua việc tặng bắt buộc thay vì giao dịch thị trường.,เศรษฐกิจแบบให้,เศรษฐกิจแบบให้หมุนเวียนสินค้าและบริการผ่านการให้โดยข้อผูกพันแทนการซื้อขายในตลาด,ekonomi hadiah,Ekonomi hadiah mengedarkan barang dan jasa melalui pemberian wajib daripada transaksi pasar.
ethnography,Ethnography produces detailed written accounts of a culture based on extended fieldwork and immersion.,민족지학,민족지학은 장기간의 현지조사와 몰입을 기반으로 문화에 대한 상세한 서면 기록을 산출한다.,エスノグラフィー,エスノグラフィーは長期的なフィールドワークと没入に基づいて文化の詳細な記録を作成する。,民族志,民族志基于长期的田野调查和沉浸式研究产生对文化的详细书面记录。,etnografía,La etnografía produce relatos escritos detallados de una cultura basados en un extenso trabajo de campo e inmersión.,dân tộc chí,Dân tộc chí tạo ra các bản ghi chép chi tiết về một nền văn hóa dựa trên công tác điền dã kéo dài và sự hòa nhập.,ชาติพันธุ์วิทยา,ชาติพันธุ์วิทยาผลิตบันทึกเป็นลายลักษณ์อักษรโดยละเอียดเกี่ยวกับวัฒนธรรมจากการทำงานภาคสนามและการเข้าไปมีส่วนร่วมเป็นเวลานาน,etnografi,Etnografi menghasilkan catatan tertulis terperinci tentang suatu budaya berdasarkan kerja lapangan dan imersi yang panjang.
postcolonialism,Postcolonialism critically examines the lasting cultural and political legacies of colonial rule.,탈식민주의,탈식민주의는 식민 지배의 지속적인 문화적 및 정치적 유산을 비판적으로 검토한다.,ポストコロニアリズム,ポストコロニアリズムは植民地支配の持続的な文化的・政治的遺産を批判的に検討する。,后殖民主义,后殖民主义批判性地审视殖民统治的持久文化和政治遗产。,poscolonialismo,El poscolonialismo examina críticamente los legados culturales y políticos duraderos del dominio colonial.,hậu thực dân,Hậu thực dân xem xét một cách phê phán các di sản văn hóa và chính trị lâu dài của chế độ thuộc địa.,หลังอาณานิคมนิยม,หลังอาณานิคมนิยมตรวจสอบอย่างวิพากษ์ถึงมรดกทางวัฒนธรรมและการเมืองที่ยั่งยืนของการปกครองแบบอาณานิคม,poskolonialisme,Poskolonialisme secara kritis meneliti warisan budaya dan politik yang bertahan lama dari pemerintahan kolonial.
diaspora,The concept of diaspora describes communities dispersed from their ancestral homeland who maintain cultural ties.,디아스포라,디아스포라의 개념은 조상의 고향에서 흩어져 문화적 유대를 유지하는 공동체를 설명한다.,ディアスポラ,ディアスポラの概念は祖先の故国から離散しながら文化的紐帯を維持するコミュニティを記述する。,散居,散居的概念描述了从祖先家园分散但仍维持文化联系的社区。,diáspora,El concepto de diáspora describe comunidades dispersas de su tierra ancestral que mantienen lazos culturales.,cộng đồng lưu vong,Khái niệm cộng đồng lưu vong mô tả các cộng đồng phân tán từ quê hương tổ tiên nhưng vẫn duy trì mối liên hệ văn hóa.,พลัดถิ่น,แนวคิดเรื่องพลัดถิ่นอธิบายถึงชุมชนที่กระจัดกระจายจากบ้านเกิดของบรรพบุรุษแต่ยังคงรักษาความผูกพันทางวัฒนธรรม,diaspora,Konsep diaspora menggambarkan komunitas yang tersebar dari tanah leluhur mereka yang mempertahankan ikatan budaya.
