english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example
behest,The policy change was implemented at the behest of the board chairman.,요청,정책 변경은 이사회 의장의 요청에 따라 시행되었다.,要請,政策変更は取締役会長の要請により実施された。,命令,政策变更是应董事会主席的要求而实施的。,descentralizar,El CEO decidió descentralizar la autoridad de toma de decisiones a los gerentes de las oficinas regionales.
bellwether,This company's earnings report is considered a bellwether for the entire technology sector.,선도주,이 회사의 실적 보고서는 전체 기술 부문의 선행 지표로 간주된다.,先行指標,この会社の決算報告はテクノロジーセクター全体のベルウェザーと見なされている。,风向标,该公司的财报被视为整个科技行业的风向标。,declarativo,La empresa solicitó una sentencia declarativa para aclarar sus derechos bajo el contrato.
bequeath,The founder chose to bequeath his entire stake in the company to charity.,유증하다,창립자는 회사의 전체 지분을 자선 단체에 유증하기로 선택했다.,遺贈する,創業者は会社の全持ち分を慈善団体に遺贈することを選んだ。,遗赠,创始人选择将他在公司的全部股份遗赠给慈善机构。,"declive, rechazo",El rechazo de la oferta de adquisición por parte de la junta sorprendió a la mayoría de los analistas de la industria.
bicameral,The country's bicameral legislature must approve the budget in both chambers separately.,양원제의,그 나라의 양원제 입법부는 양 원에서 별도로 예산을 승인해야 한다.,二院制の,その国の二院制議会は両院で別々に予算を承認しなければならない。,两院制的,该国的两院制立法机构必须在两院分别批准预算。,"desacoplar, separar",La empresa planea desacoplar sus operaciones minoristas de su negocio de distribución mayorista.
bifurcate,The company decided to bifurcate its operations into domestic and international divisions.,분기하다,회사는 운영을 국내와 해외 사업부로 분리하기로 결정했다.,分岐する,会社は事業を国内部門と国際部門に分岐させることを決定した。,分叉,公司决定将其业务分为国内和国际两个部门。,"decreto, fallo judicial",El tribunal emitió un decreto ordenando a la empresa cesar las prácticas comerciales desleales.
bindingly,The arbitration decision is bindingly enforceable under the terms of the original contract.,구속력 있게,중재 결정은 원래 계약 조건에 따라 구속력 있게 집행 가능하다.,拘束力を持って,仲裁決定は原契約の条件に基づき拘束力をもって執行可能である。,有约束力地,仲裁裁决根据原始合同条款具有约束力且可执行。,deducibilidad,La deducibilidad fiscal de los gastos de viaje de negocios depende de la documentación adecuada.
bipartisan,The trade reform bill received bipartisan support from both major political parties.,초당적인,무역 개혁 법안은 양 주요 정당의 초당적 지지를 받았다.,超党派の,貿易改革法案は両主要政党から超党派の支持を受けた。,两党的,贸易改革法案获得了两大主要政党的两党支持。,"escritura, título",La escritura de propiedad fue registrada en la oficina del secretario del condado después del acuerdo.
blue chip,Investors often choose blue chip stocks for reliable dividend payments and stability.,우량주,투자자들은 안정적인 배당금 지급과 안정성을 위해 블루칩 주식을 선택한다.,優良株,投資家は安定した配当金の支払いと安定性のためにブルーチップ株を選ぶことが多い。,蓝筹股,投资者通常选择蓝筹股以获得可靠的股息支付和稳定性。,"difamación, calumnia",El ejecutivo presentó una demanda por difamación contra el periódico por el artículo falso.
boilerplate,The lawyer reviewed the boilerplate language in the standard service level agreement.,표준 문구,변호사는 표준 서비스 수준 계약의 상용 문구를 검토했다.,定型文,弁護士は標準サービスレベル契約の定型文言を確認した。,样板条款,律师审查了标准服务级别协议中的模板条款。,"moroso, incumplidor",El banco reportó al deudor moroso a las agencias de crédito tras el impago repetido de préstamos.
bona fide,The buyer must demonstrate bona fide intent to complete the property purchase.,진정한,구매자는 부동산 매입을 완료할 진정한 의도를 입증해야 한다.,真正の,買い手は不動産購入を完了する真正の意図を証明しなければならない。,真正的,买方必须证明完成房产购买的真诚意图。,"aplazamiento, diferimiento",La empresa solicitó un aplazamiento del pago de impuestos trimestral hasta el próximo mes.
bottleneck,The supply chain bottleneck delayed product shipments by approximately three to four weeks.,병목현상,공급망 병목 현상이 제품 배송을 약 3~4주 지연시켰다.,ボトルネック,サプライチェーンのボトルネックが製品出荷を約3〜4週間遅らせた。,瓶颈,供应链瓶颈将产品发货延迟了大约三到四周。,"definitivo, concluyente",La junta emitió un acuerdo definitivo para adquirir al competidor por dos mil millones.
bounty,The company offered a cash bounty for employees who referred successful new hires.,보상금,회사는 성공적인 신규 채용을 추천한 직원에게 현금 보상을 제공했다.,報奨金,会社は成功した新規採用を紹介した従業員に現金報奨金を提供した。,赏金,公司为推荐成功新员工的员工提供现金奖励。,"degradación, deterioro",La degradación ambiental cerca de la fábrica motivó una investigación gubernamental sobre la empresa.
breach,A breach of the confidentiality agreement could result in immediate contract termination.,위반,기밀 유지 계약의 위반은 즉각적인 계약 해지를 초래할 수 있다.,違反,機密保持契約の違反は即座の契約終了につながる可能性がある。,违约,违反保密协议可能导致合同立即终止。,delegar,El gerente decidió delegar la tarea de revisión del presupuesto al equipo financiero.
breakeven,The startup expects to reach breakeven within the first two years of operations.,손익분기점,스타트업은 운영 첫 2년 이내에 손익분기점에 도달할 것으로 예상한다.,損益分岐点,スタートアップは運営開始から2年以内に損益分岐点に達すると予想している。,盈亏平衡点,这家初创公司预计在运营头两年内达到盈亏平衡。,"deliberar, reflexionar",El jurado deliberará durante varios días antes de llegar a un veredicto final.
brinkmanship,The negotiation involved considerable brinkmanship before both sides finally reached a compromise.,벼랑 끝 전술,협상은 양측이 마침내 타협에 도달하기 전에 상당한 벼랑 끝 전략을 포함했다.,瀬戸際政策,交渉は両者がついに妥協に達する前にかなりの瀬戸際戦略を含んでいた。,边缘政策,谈判涉及大量边缘政策，最终双方才达成妥协。,"desaparición, fallecimiento",La desaparición del minorista antes dominante fue causada por el fracaso en innovar.
bulwark,Strong intellectual property rights serve as a bulwark against market competition.,방벽,강력한 지적 재산권은 시장 경쟁에 대한 방벽 역할을 한다.,防壁,強力な知的財産権は市場競争に対する防壁として機能する。,堡垒,强有力的知识产权是抵御市场竞争的堡垒。,demográfico,Los cambios en las tendencias demográficas están transformando los patrones de gasto de los consumidores en todos los sectores.
burdensome,The new compliance requirements are particularly burdensome for smaller financial institutions.,부담스러운,새로운 규정 준수 요구 사항은 소규모 금융 기관에 특히 부담스럽다.,負担の大きい,新しいコンプライアンス要件は小規模金融機関にとって特に負担が大きい。,繁重的,新的合规要求对较小的金融机构来说尤其繁重。,"descenso de categoría, degradación",El gerente recibió una degradación después de que el departamento no cumpliera los objetivos anuales.
bylaw,The corporate bylaw requires a two-thirds majority vote for any charter amendment.,내규,회사 정관은 정관 수정에 대해 3분의 2 이상의 다수결을 요구한다.,定款,会社の定款は定款修正には3分の2以上の多数決を要求している。,章程,公司章程要求任何章程修正需三分之二多数票通过。,"denunciar, condenar públicamente",Los grupos de defensa del consumidor denunciaron públicamente las prácticas de campaña publicitaria engañosa de la empresa.
cadre,A small cadre of experienced executives led the company's international expansion efforts.,간부,소규모의 경험 많은 임원 그룹이 회사의 국제 확장 노력을 이끌었다.,幹部,少数の経験豊富な幹部がグループが会社の国際展開を主導した。,骨干,一小批经验丰富的高管领导了公司的国际扩张工作。,"declaración jurada, deposición",El testigo dio una declaración jurada antes de que el juicio comenzara oficialmente en el tribunal.
calibrate,The finance team needs to calibrate the budget forecast based on new data.,교정하다,재무팀은 새로운 데이터를 기반으로 예산 예측을 보정해야 한다.,校正する,財務チームは新しいデータに基づいて予算予測を調整する必要がある。,校准,财务团队需要根据新数据校准预算预测。,"depredación, saqueo financiero",La depredación financiera causada por el esquema de fraude totalizó más de veinte millones de dólares.
canvass,The sales team will canvass local businesses to identify potential new clients.,의견을 조사하다,영업팀은 잠재적 신규 고객을 발굴하기 위해 지역 사업체를 방문 조사할 것이다.,意見を調査する,営業チームは潜在的な新規顧客を特定するために地元の企業を訪問調査する。,征求意见,销售团队将走访当地企业以发掘潜在新客户。,"dejación, abandono del deber",El funcionario fue destituido por dejación de sus obligaciones en la supervisión del cumplimiento financiero.
capacitate,The training program aims to capacitate employees for senior management roles ahead.,능력을 갖추게 하다,교육 프로그램은 직원들에게 향후 고위 경영직을 수행할 역량을 부여하는 것을 목표로 한다.,能力を持たせる,研修プログラムは従業員に将来の上級管理職の能力を付与することを目指している。,使有能力,培训计划旨在使员工具备担任高级管理职位的能力。,"cesar, detener",El tribunal ordenó a la empresa cesar y desistir de las prácticas de marketing engañosas.
capitation,The healthcare plan operates on a capitation basis with fixed per-member payments.,인두세,건강 보험 계획은 회원당 고정 지불 방식의 인두제로 운영된다.,人頭税,医療プランは加入者1人当たりの固定支払いに基づく人頭割方式で運営されている。,人头税,医疗保健计划按人头付费方式运营，每位成员固定付款。,"retención, demanda de posesión",El arrendador presentó una acción de retención para recuperar la posesión de la propiedad comercial.
carve-out,The private equity firm negotiated a carve-out of the technology division assets.,분리 매각,사모 펀드 회사는 기술 사업부 자산의 분리를 협상했다.,カーブアウト,プライベートエクイティ企業はテクノロジー部門資産のカーブアウトを交渉した。,分拆,私募股权公司谈判了技术部门资产的分拆。,"determinante, decisivo",El voto de la junta será determinante para decidir la dirección estratégica futura de la empresa.
cashflow,Positive cashflow is essential for maintaining daily business operations and paying suppliers.,현금 흐름,양의 현금 흐름은 일상적인 사업 운영과 공급업체 지불을 유지하는 데 필수적이다.,キャッシュフロー,プラスのキャッシュフローは日常の事業運営とサプライヤーへの支払いに不可欠である。,现金流,正现金流对维持日常业务运营和支付供应商至关重要。,elemento disuasorio,Las fuertes multas sirven como elemento disuasorio contra futuras violaciones del cumplimiento normativo.
caucus,The industry caucus met to discuss the implications of proposed regulatory changes.,간부 회의,업계 간부 회의는 제안된 규제 변화의 영향을 논의하기 위해 모였다.,幹部会議,業界幹部会議は提案された規制変更の影響を議論するために会合した。,核心会议,行业核心小组开会讨论拟议监管变化的影响。,"detrimento, perjuicio",La información filtrada causó un detrimento significativo a la posición competitiva de la empresa en el mercado.
causation,The plaintiff must prove direct causation between the defendant's actions and financial losses.,인과 관계,원고는 피고의 행위와 재정적 손실 간의 직접적 인과 관계를 증명해야 한다.,因果関係,原告は被告の行為と経済的損失の間の直接的な因果関係を証明しなければならない。,因果关系,原告必须证明被告行为与经济损失之间的直接因果关系。,"desviarse, apartarse",Los empleados no deben desviarse de los procedimientos operativos estándar aprobados sin autorización.
caveat,The investment prospectus includes a caveat about potential risks in emerging markets.,경고,투자 설명서에는 신흥 시장의 잠재적 위험에 대한 경고가 포함되어 있다.,警告,投資目論見書には新興市場の潜在的リスクに関する注意書きが含まれている。,警告,投资说明书包含关于新兴市场潜在风险的警告。,"delegar, transferir",Las responsabilidades de gestión cotidiana se delegarán a los directores regionales el próximo trimestre.
cession,The cession of territorial rights was a key condition of the peace treaty.,양도,영토권 양도는 평화 조약의 핵심 조건이었다.,割譲,領土権の譲渡は平和条約の重要な条件であった。,割让,领土权的割让是和平条约的关键条件。,"dicotomía, división",Existe una clara dicotomía entre los valores declarados de la empresa y sus prácticas reales.
chancellor,The university chancellor addressed the importance of public-private partnership in research funding.,총장,대학 총장은 연구 자금에서 공공-민간 파트너십의 중요성을 강조했다.,長官,大学の学長は研究資金における官民パートナーシップの重要性について述べた。,大臣,大学校长阐述了公私合作在研究资金中的重要性。,"dilatorio, de demora",Las tácticas dilatorias del demandado prolongaron los procedimientos legales varios meses adicionales.
chronological,The report presents all financial transactions in strict chronological order by date.,연대순의,보고서는 모든 금융 거래를 날짜별로 엄격한 시간순으로 제시한다.,年代順の,報告書はすべての金融取引を日付順に厳密な時系列で提示している。,按时间顺序的,报告按日期严格按时间顺序列出所有金融交易。,diligencia debida,El comprador realizó una diligencia debida exhaustiva antes de finalizar el acuerdo de adquisición corporativa.
circumscribe,Industry regulations circumscribe the types of investments that pension funds may undertake.,제한하다,업계 규정은 연금 기금이 수행할 수 있는 투자 유형을 제한한다.,制限する,業界規制は年金基金が行える投資の種類を制限している。,限制,行业法规限制了养老基金可以进行的投资类型。,"disminuir, reducir",El aumento de costos reducirá significativamente los márgenes de beneficio proyectados de la empresa este trimestre.
circumspect,The board remained circumspect about approving the high-risk investment proposal presented.,신중한,이사회는 제시된 고위험 투자 제안 승인에 대해 신중한 태도를 유지했다.,慎重な,取締役会は提示された高リスク投資提案の承認について慎重な姿勢を維持した。,谨慎的,董事会对批准提出的高风险投资提案保持谨慎态度。,"repudiar, anular",El menor tiene el derecho legal de repudiar los contratos celebrados antes de llegar a la mayoría de edad.
clawback,The contract includes a clawback provision for bonuses paid based on misstated earnings.,환수,계약에는 허위 수익에 기반하여 지급된 보너스에 대한 환수 조항이 포함되어 있다.,クローバック,契約には虚偽の収益に基づいて支払われたボーナスの返還条項が含まれている。,追回,合同包含基于虚假收益支付的奖金追回条款。,"desambiguar, aclarar",El equipo legal trabajó para desambiguar el lenguaje poco claro en los términos del contrato.
clearance,The shipment is awaiting customs clearance before it can enter the domestic market.,통관,화물은 국내 시장에 진입하기 전에 세관 통관을 기다리고 있다.,クリアランス,貨物は国内市場に入る前に通関手続きを待っている。,清关,货物正在等待清关后才能进入国内市场。,"disolución, desintegración",La disolución del comité asesor dejó un vacío en la supervisión de la gobernanza corporativa.
clemency,The convicted executive's attorneys filed a formal petition for executive clemency.,관용,유죄 판결을 받은 임원의 변호사들이 행정부의 사면을 위한 공식 청원을 제출했다.,寛大,有罪判決を受けた役員の弁護士は行政的な恩赦の正式な請願書を提出した。,宽大处理,被定罪的高管的律师提交了行政宽大处理的正式请愿书。,"apreciable, perceptible",No hubo mejora perceptible en las ventas trimestrales a pesar del lanzamiento de la campaña de marketing.
clerical,The accounting error was traced back to a simple clerical mistake in data entry.,사무적인,회계 오류는 데이터 입력 시 단순한 사무적 실수로 추적되었다.,事務的な,会計上の誤りはデータ入力における単純な事務的ミスに遡った。,文书的,会计错误被追溯到数据录入中的一个简单文书失误。,"divulgar, revelar",Las empresas públicas deben divulgar toda la información financiera material a los inversores.
codicil,The attorney prepared a codicil to modify the terms of the original will.,유언 보충서,변호사는 원래 유언의 조건을 수정하기 위한 부록을 작성했다.,遺言補充書,弁護士は元の遺言の条件を変更するための追加条項を作成した。,遗嘱附录,律师准备了一份遗嘱附录来修改原遗嘱的条款。,"descontinuar, suprimir",El fabricante decidió descontinuar la línea de productos con bajo rendimiento a partir del próximo trimestre.
collateralize,The borrower agreed to collateralize the loan with commercial real estate holdings.,담보로 제공하다,차입자는 상업용 부동산 보유 자산으로 대출을 담보하기로 동의했다.,担保に入れる,借入者は商業用不動産の保有資産でローンを担保にすることに同意した。,提供担保,借款人同意以商业房地产持有作为贷款抵押。,"discreción, criterio",El juez ejerció su discreción para determinar la sanción adecuada por la infracción.
colloquium,The finance department hosted a colloquium on emerging trends in digital banking.,학술 토론회,재무부는 디지털 뱅킹의 신흥 트렌드에 대한 학술 세미나를 주최했다.,学術討論会,財務部門はデジタルバンキングの新興トレンドに関するコロキウムを開催した。,学术讨论会,财务部门主办了一场关于数字银行新兴趋势的学术研讨会。,discriminatorio,La empresa enfrentó una demanda que alegaba prácticas de contratación discriminatorias contra los solicitantes de minorías.
commensurate,The salary offered is commensurate with the candidate's experience and qualifications.,비례하는,제시된 급여는 후보자의 경험과 자격에 상응한다.,比例する,提示された給与は候補者の経験と資格に見合ったものである。,相称的,提供的薪资与候选人的经验和资质相称。,"imparcial, desinteresado",El mediador debe permanecer completamente imparcial para garantizar un proceso de resolución justo.
commissariat,The commissariat department manages all procurement and supply logistics for field operations.,보급부,조달부는 현장 운영을 위한 모든 조달 및 공급 물류를 관리한다.,補給部,補給部門は現場運営のためのすべての調達と供給ロジスティクスを管理している。,后勤部,后勤部门管理现场运营的所有采购和供应物流。,"despido, destitución",La reclamación por despido injustificado se resolvió extrajudicialmente por una cantidad no divulgada.
commodious,The newly built corporate headquarters offers commodious office spaces for all employees.,넓은,신축 본사는 모든 직원에게 넓은 사무 공간을 제공한다.,広々とした,新築の本社はすべての従業員に広々としたオフィススペースを提供する。,宽敞的,新建的公司总部为所有员工提供宽敞的办公空间。,"exención especial, dispensa",La empresa recibió una dispensa especial que la eximía de ciertas restricciones de exportación.
communiqué,The G7 finance ministers issued a joint communiqué on global economic recovery plans.,공식 성명,G7 재무 장관들은 세계 경제 회복 계획에 관한 공동 성명을 발표했다.,コミュニケ,G7財務大臣は世界経済回復計画に関する共同声明を発表した。,公报,七国集团财长就全球经济复苏计划发布了联合公报。,"desposeer, desalojar",El arrendador no puede desposeer legalmente a un inquilino sin seguir los procedimientos de desalojo adecuados.
commutative,The commutative nature of the exchange allows parties to swap equivalent asset values.,교환적인,교환의 교환적 성격은 당사자가 동등한 자산 가치를 교환할 수 있게 한다.,交換的な,交換の交換的性質により当事者は同等の資産価値を交換することができる。,交换的,交换的等价性质允许各方交换等值资产。,"desproporción, desequilibrio",Existe una clara desproporción entre la remuneración de los ejecutivos y los salarios medios de los empleados.
compendium,The firm published a compendium of tax regulations applicable to multinational corporations.,개요,회사는 다국적 기업에 적용되는 세금 규정 개요를 출판했다.,概要,企業は多国籍企業に適用される税制規則の概要を出版した。,纲要,公司出版了适用于跨国公司的税收法规汇编。,parte en disputa,Ambas partes en disputa acordaron someter sus reclamaciones a un procedimiento de arbitraje vinculante.
complainant,The complainant alleged that the company engaged in deceptive advertising practices.,고소인,고소인은 회사가 기만적 광고 관행에 관여했다고 주장했다.,告訴人,告訴人は会社が欺瞞的な広告慣行に従事していたと主張した。,投诉人,投诉人指控该公司从事欺骗性广告行为。,"descalificar, inhabilitar",Un conflicto de intereses puede descalificar al juez para presidir este caso.
complementary,The two product lines are complementary and serve different segments of the market.,보완적인,두 제품 라인은 상호 보완적이며 시장의 다른 세그먼트를 서비스한다.,補完的な,2つの製品ラインは相互補完的で、市場の異なるセグメントにサービスを提供する。,互补的,两条产品线是互补的，服务于不同的市场细分。,"disidencia, voto en contra",Dos miembros de la junta expresaron su disidencia contra el plan propuesto de aumento de compensación ejecutiva.
compunction,The executive showed no compunction about laying off workers to cut costs.,양심의 가책,임원은 비용 절감을 위해 직원을 해고하는 데 양심의 가책을 보이지 않았다.,良心の呵責,役員はコスト削減のために労働者を解雇することに良心の呵責を示さなかった。,内疚,该高管对裁员以削减成本毫无愧疚之意。,"disolver, liquidar",Los socios votaron unánimemente disolver la sociedad comercial con efecto inmediato.
concatenate,The analyst needs to concatenate data from multiple sources into one master report.,연결하다,분석가는 여러 소스의 데이터를 하나의 마스터 보고서로 연결해야 한다.,連結する,アナリストは複数のソースからのデータを1つのマスターレポートに連結する必要がある。,连接,分析师需要将来自多个来源的数据合并到一份主报告中。,"embargar, secuestrar",El arrendador puede embargar los bienes del inquilino para recuperar el alquiler comercial impagado.
concur,All committee members concur with the recommendation to approve the new spending plan.,동의하다,모든 위원회 구성원이 새로운 지출 계획 승인 권고에 동의한다.,同意する,すべての委員会メンバーが新しい支出計画の承認勧告に同意する。,同意,所有委员会成员同意批准新支出计划的建议。,"consternado, angustiado",Los inversores quedaron consternados al enterarse del enorme escándalo de fraude contable.
concurrent,The company is managing concurrent negotiations with three different potential acquisition targets.,동시의,회사는 세 곳의 잠재적 인수 대상과 동시에 협상을 진행하고 있다.,同時の,会社は3つの異なる潜在的買収対象との並行した交渉を管理している。,同时的,公司正在同时管理与三个不同潜在收购目标的谈判。,"concordar, estar de acuerdo",Todos los miembros del comité coinciden con la recomendación de aprobar el nuevo plan de gastos.
condemnation,The condemnation of the unsafe building required the tenants to relocate their offices.,유죄 선고,안전하지 않은 건물의 수용으로 인해 세입자들은 사무실을 이전해야 했다.,有罪判決,安全でないビルの収用により、テナントはオフィスを移転しなければならなかった。,谴责,对不安全建筑的征用要求租户搬迁其办公室。,"simultáneo, concurrente",La empresa gestiona negociaciones simultáneas con tres posibles objetivos de adquisición diferentes.
condescend,Senior executives should not condescend to junior staff during collaborative project meetings.,겸손히 응하다,고위 임원은 협업 프로젝트 회의에서 주니어 직원에게 거만하게 대해서는 안 된다.,謙虚に応じる,上級幹部は協業プロジェクト会議でジュニアスタッフに見下すような態度をとるべきではない。,屈尊,高级管理人员在协作项目会议上不应居高临下地对待初级员工。,"condena, expropiación forzosa",La expropiación del edificio inseguro obligó a los inquilinos a trasladar sus oficinas.
confiscation,The confiscation of counterfeit goods was carried out by customs enforcement officers.,몰수,위조품의 몰수는 세관 집행 공무원에 의해 수행되었다.,没収,偽造品の没収は税関の執行職員によって行われた。,没收,假冒商品的没收由海关执法人员执行。,"condescender, tratar con aires de superioridad",Los altos directivos no deben condescender con el personal junior durante las reuniones de proyectos colaborativos.
conflate,Analysts should not conflate short-term market fluctuations with long-term investment trends.,합치다,분석가들은 단기 시장 변동을 장기 투자 추세와 혼동해서는 안 된다.,混合する,アナリストは短期的な市場変動と長期的な投資トレンドを混同すべきではない。,合并,分析师不应将短期市场波动与长期投资趋势混为一谈。,"confiscación, decomiso",La confiscación de los bienes falsificados fue llevada a cabo por los agentes de la aduana.
congruous,The marketing strategy must be congruous with the company's overall brand positioning.,적합한,마케팅 전략은 회사의 전반적인 브랜드 포지셔닝과 일치해야 한다.,適合した,マーケティング戦略は会社全体のブランドポジショニングと一致していなければならない。,一致的,营销策略必须与公司的整体品牌定位一致。,"fusionar, mezclar confusamente",Los analistas no deben confundir las fluctuaciones del mercado a corto plazo con las tendencias de inversión a largo plazo.
conjecture,The analyst's forecast is based on conjecture rather than verified market data.,추측,분석가의 예측은 검증된 시장 데이터가 아닌 추측에 기반한다.,推測,アナリストの予測は検証された市場データではなく推測に基づいている。,推测,分析师的预测基于推测而非经过验证的市场数据。,"congruente, acorde",La estrategia de marketing debe ser congruente con el posicionamiento general de la marca de la empresa.
connivance,The fraud was perpetrated with the connivance of several senior company officials.,묵인,사기는 여러 고위 회사 임원의 묵인 하에 자행되었다.,黙認,詐欺は数人の上級役員の黙認のもとで行われた。,纵容,欺诈是在几名公司高级官员的纵容下实施的。,"conjetura, suposición",La previsión del analista se basa en conjeturas en lugar de datos de mercado verificados.
conscription,The debate over labor conscription for national service projects divided public opinion sharply.,징병,국가 서비스 프로젝트를 위한 노동 징집에 대한 논쟁이 여론을 날카롭게 분열시켰다.,徴兵,国家サービスプロジェクトのための労働徴用に関する議論が世論を鋭く分断した。,征兵,关于国家服务项目劳动征召的辩论使公众意见严重分裂。,"connivencia, complicidad",El fraude fue perpetrado con la connivencia de varios altos funcionarios de la empresa.
conservator,The court appointed a conservator to manage the incapacitated executive's financial affairs.,관리인,법원은 무능력한 임원의 재정 문제를 관리할 보존인을 임명했다.,管財人,裁判所は行為能力を失った役員の財務を管理する後見人を任命した。,保管人,法院指定了一名监护人来管理无行为能力高管的财务事务。,"reclutamiento forzoso, conscripción",El debate sobre el reclutamiento laboral para proyectos de servicio nacional dividió agudamente la opinión pública.
consign,The manufacturer will consign the finished goods to the designated distribution warehouse.,위탁하다,제조업체는 완성품을 지정 유통 창고에 위탁할 것이다.,委託する,製造業者は完成品を指定の流通倉庫に委託する。,委托,制造商将把成品托运到指定的配送仓库。,"curador, administrador judicial",El tribunal nombró a un curador para gestionar los asuntos financieros del ejecutivo incapacitado.
consolidate,The company plans to consolidate three regional offices into one central headquarters.,통합하다,회사는 세 개의 지역 사무소를 하나의 중앙 본사로 통합할 계획이다.,統合する,会社は3つの地域オフィスを1つの中央本社に統合する計画である。,合并,公司计划将三个地区办事处合并为一个中央总部。,"consignar, entregar en depósito",El fabricante consignará los bienes terminados al almacén de distribución designado.
constitutive,The constitutive documents define the fundamental governance structure of the corporation.,구성적인,설립 문서는 기업의 근본적인 지배 구조를 정의한다.,構成的な,設立文書は企業の基本的なガバナンス構造を定めている。,构成的,章程性文件规定了公司的基本治理结构。,"consolidar, fusionar",La empresa planea consolidar tres oficinas regionales en una sede central.
construe,The court will construe the ambiguous contract terms in favor of the employee.,해석하다,법원은 모호한 계약 조건을 직원에게 유리하게 해석할 것이다.,解釈する,裁判所は曖昧な契約条件を従業員に有利に解釈する。,解释,法院将对模糊的合同条款作有利于员工的解释。,"constitutivo, fundamental",Los documentos constitutivos definen la estructura de gobierno fundamental de la corporación.
consummate,The lawyers worked overnight to consummate the merger deal before the deadline.,완성하다,변호사들은 마감 전에 합병 거래를 완료하기 위해 밤새 일했다.,完成する,弁護士はデッドラインまでに合併取引を完了するために徹夜で作業した。,完成,律师们通宵工作以在截止日期前完成合并交易。,"interpretar, entender",El tribunal interpretará los términos ambiguos del contrato en favor del empleado.
contempt,The witness was held in contempt of court for refusing to answer questions.,모욕,증인은 질문에 대한 답변을 거부하여 법정 모욕죄로 구금되었다.,侮辱,証人は質問への回答を拒否したとして法廷侮辱罪に問われた。,藐视,证人因拒绝回答问题被判藐视法庭罪。,"consumar, finalizar",Los abogados trabajaron toda la noche para consumar el acuerdo de fusión antes de la fecha límite.
contentious,The proposed salary reduction plan proved highly contentious among the employee union members.,논쟁적인,제안된 급여 삭감 계획은 직원 노조 구성원들 사이에서 매우 논쟁적이었다.,論争的な,提案された給与削減計画は従業員組合員の間で非常に論争を呼んだ。,有争议的,拟议的减薪计划在员工工会成员中引起了激烈争议。,"desacato, desdén",El testigo fue declarado en desacato al tribunal por negarse a responder preguntas.
contingency,The company maintains a contingency fund for unexpected operational emergencies and costs.,불측 사태,회사는 예상치 못한 운영 긴급 상황과 비용을 위한 비상 기금을 유지한다.,不測の事態,会社は予期しない業務上の緊急事態とコストのための緊急予備資金を維持している。,突发事件,公司维持一项应急基金用于应对意外运营紧急情况和费用。,"controvertido, polémico",El propuesto plan de reducción salarial resultó muy polémico entre los miembros del sindicato de empleados.
contraband,Customs officers seized contraband goods worth millions of dollars at the border.,밀수품,세관 관리가 국경에서 수백만 달러 상당의 밀수품을 압수했다.,禁制品,税関職員は国境で数百万ドル相当の密輸品を押収した。,走私品,海关官员在边境查获了价值数百万美元的违禁品。,"contingencia, eventualidad",La empresa mantiene un fondo de contingencia para emergencias operativas inesperadas y costos imprevistos.
contravention,The company was fined for contravention of environmental protection regulations last quarter.,위반,회사는 지난 분기 환경 보호 규정 위반으로 벌금을 부과받았다.,違反,会社は前四半期に環境保護規制の違反で罰金を科された。,违反,公司因上季度违反环境保护法规而被罚款。,"contrabando, mercancía ilegal",Los agentes de aduanas incautaron artículos de contrabando por valor de millones de dólares en la frontera.
contributory,Employee negligence was found to be a contributory factor in the workplace accident.,기여하는,직원의 과실이 직장 사고의 기여 요인으로 밝혀졌다.,寄与する,従業員の過失が職場事故の寄与要因であることが判明した。,出资的,员工疏忽被认定为工作场所事故的促成因素。,"contravención, infracción",La empresa fue multada por contravención de las regulaciones de protección ambiental el trimestre pasado.
convalescent,The company provides convalescent leave benefits for employees recovering from major surgery.,회복기의,회사는 주요 수술에서 회복 중인 직원에게 요양 휴가 혜택을 제공한다.,回復期の,会社は大手術から回復中の従業員に療養休暇の給付を提供する。,康复期的,公司为从重大手术中恢复的员工提供疗养假福利。,"contributivo, coadyuvante",Se determinó que la negligencia del empleado fue un factor contributivo en el accidente laboral.
conversant,All managers must be fully conversant with the company's data protection compliance policies.,정통한,모든 관리자는 회사의 데이터 보호 규정 준수 정책을 완전히 숙지해야 한다.,精通した,すべてのマネージャーは会社のデータ保護コンプライアンスポリシーに精通していなければならない。,熟悉的,所有经理必须完全熟悉公司的数据保护合规政策。,"convaleciente, en periodo de recuperación",La empresa ofrece prestaciones de licencia por convalecencia a los empleados que se recuperan de una cirugía mayor.
conveyancer,The conveyancer handled all legal aspects of the commercial property ownership transfer.,양도 전문가,부동산 양도 전문가가 상업용 부동산 소유권 이전의 모든 법적 측면을 처리했다.,譲渡専門家,不動産譲渡専門家が商業用不動産の所有権移転のすべての法的側面を処理した。,产权转让律师,产权转让律师处理了商业物业所有权转让的所有法律方面。,"versado, familiarizado",Todos los gerentes deben estar plenamente familiarizados con las políticas de cumplimiento de protección de datos de la empresa.
