"english","example","ko_meaning","ko_example","ja_meaning","ja_example","zh_meaning","zh_example"
"inveterate","The inveterate optimist on the board always found reasons for bullish projections.","뿌리 깊은","이사회의 뿌리 깊은 낙관주의자는 항상 강세 전망의 이유를 찾았다.","根っからの","取締役会の根っからの楽観主義者は常に強気の予測の理由を見つけた。","根深蒂固的","董事会中根深蒂固的乐观主义者总能找到看涨预测的理由。"
"juxtaposition","The juxtaposition of old and new design elements created a unique brand identity.","병치","오래된 것과 새로운 디자인 요소의 병치가 독특한 브랜드 정체성을 만들어냈다.","並置","古いデザイン要素と新しいデザイン要素の並置がユニークなブランドアイデンティティを生み出した。","并置","新旧设计元素的并置创造了独特的品牌标识。"
"abscond","The treasurer absconded with company funds before the audit was completed.","도주하다","회계 담당자가 감사 완료 전에 회사 자금을 가지고 도주했다.","逃亡する","会計担当者は監査完了前に会社の資金を持って逃亡した。","潜逃","出纳在审计完成之前携带公司资金潜逃了。"
"adjunct","The external consultant serves as an adjunct to the permanent advisory team.","부속물","외부 컨설턴트는 상임 자문팀의 부속물 역할을 한다.","付属の","外部コンサルタントは常設の諮問チームの付属として機能する。","附属","外部顾问作为常设咨询团队的附属。"
"adulterate","Investigators found that the supplier had adulterated the raw materials with cheaper substitutes.","불순물을 섞다","조사관들은 공급업체가 원자재에 더 저렴한 대체품을 섞었음을 발견했다.","混ぜ物をする","調査官はサプライヤーがより安価な代替品で原材料に混ぜ物をしていたことを発見した。","掺假","调查人员发现供应商用更便宜的替代品掺假了原材料。"
"affidavit","The executive signed an affidavit confirming the accuracy of the financial disclosures.","선서 진술서","경영진은 재무 공시의 정확성을 확인하는 선서 진술서에 서명했다.","宣誓供述書","幹部は財務開示の正確性を確認する宣誓供述書に署名した。","宣誓书","高管签署了一份宣誓书，确认财务披露的准确性。"
"aggrandize","The CEO was accused of using corporate resources to aggrandize his personal wealth.","확대하다","CEO는 개인 재산을 확대하기 위해 기업 자원을 사용했다는 혐의를 받았다.","拡大する","CEOは個人の富を拡大するために企業資源を使用したと非難された。","扩大","CEO被指控利用公司资源来扩大个人财富。"
"alacrity","The team accepted the new project assignment with remarkable alacrity and enthusiasm.","민첩함","팀은 놀라운 민첩함과 열정으로 새 프로젝트 배정을 수락했다.","機敏さ","チームは驚くべき機敏さと熱意で新しいプロジェクトの配属を受け入れた。","敏捷","团队以非凡的敏捷和热情接受了新项目任务。"
"altruistic","The company's altruistic initiative provides free education to underprivileged communities.","이타적인","회사의 이타적인 이니셔티브가 소외된 지역사회에 무료 교육을 제공한다.","利他的な","会社の利他的な取り組みが恵まれないコミュニティに無料教育を提供している。","利他的","公司的利他举措为弱势群体提供免费教育。"
"anarchy","The sudden departure of all senior leaders created a state of organizational anarchy.","무정부 상태","모든 고위 지도자의 갑작스러운 퇴장이 조직적 무정부 상태를 만들었다.","無秩序","全ての上級リーダーの突然の退任が組織的な無秩序状態を生み出した。","混乱","所有高级领导人的突然离开造成了组织无政府状态。"
"anecdote","The keynote speaker shared a compelling anecdote about her first business failure.","일화","기조연설자는 첫 사업 실패에 대한 설득력 있는 일화를 공유했다.","逸話","基調講演者は最初の事業失敗に関する説得力のある逸話を共有した。","轶事","主讲人分享了一段关于她第一次创业失败的引人入胜的轶事。"
"animosity","Deep animosity between the two departments hindered cross-functional collaboration efforts.","적대감","두 부서 간의 깊은 적대감이 부서 간 협업 노력을 방해했다.","敵意","2つの部門間の深い敵意が部門横断的な協力の取り組みを妨げた。","敌意","两个部门之间的深深敌意阻碍了跨职能协作的努力。"
"anomalous","The anomalous trading pattern triggered an automatic investigation by market regulators.","이상한","이상한 거래 패턴이 시장 규제 기관의 자동 조사를 촉발했다.","異常な","異常な取引パターンが市場規制当局による自動調査を引き起こした。","异常的","异常的交易模式触发了市场监管机构的自动调查。"
"antecedent","Understanding the antecedent conditions helps explain the current market dynamics.","선행의","선행 조건을 이해하면 현재 시장 역학을 설명하는 데 도움이 된다.","先行する","先行する条件を理解することは現在の市場ダイナミクスを説明するのに役立つ。","先行的","了解先行条件有助于解释当前的市场动态。"
"antiquated","The antiquated inventory management system was finally replaced with modern software.","구식의","구식 재고 관리 시스템이 마침내 현대적인 소프트웨어로 교체되었다.","旧式の","旧式の在庫管理システムがようやく最新のソフトウェアに置き換えられた。","过时的","过时的库存管理系统终于被现代软件取代。"
"aplomb","She handled the hostile takeover attempt with remarkable poise and aplomb.","침착함","그녀는 적대적 인수 시도를 놀라운 침착함으로 처리했다.","沈着さ","彼女は敵対的買収の試みを驚くべき沈着さで対処した。","沉着","她以非凡的沉着应对了恶意收购企图。"
"approbation","The initiative received widespread approbation from industry stakeholders and regulators.","승인","이 계획은 업계 이해관계자와 규제 기관으로부터 광범위한 승인을 받았다.","賛同","このイニシアチブは業界の利害関係者と規制当局から広範な賛同を得た。","赞同","该倡议获得了行业利益相关者和监管机构的广泛赞同。"
"ardent","The ardent supporter of innovation championed the digital transformation project.","열렬한","혁신의 열렬한 지지자가 디지털 전환 프로젝트를 옹호했다.","熱烈な","イノベーションの熱烈な支持者がデジタルトランスフォーメーションプロジェクトを擁護した。","热烈的","这位创新的热烈支持者倡导了数字化转型项目。"
"assail","Critics assailed the company's decision to relocate manufacturing to lower-cost regions.","공격하다","비평가들은 제조를 저비용 지역으로 이전하려는 회사의 결정을 공격했다.","攻撃する","批評家は製造をより低コストの地域に移転するという会社の決定を攻撃した。","抨击","批评者抨击了公司将制造业转移到低成本地区的决定。"
"assent","The board gave its formal assent to the proposed acquisition of the tech startup.","동의","이사회는 기술 스타트업 인수 제안에 대한 공식 동의를 했다.","同意","取締役会はテックスタートアップの買収提案に正式な同意を与えた。","同意","董事会正式同意了收购科技初创公司的提案。"
"atrophy","Without continuous investment, the company's competitive capabilities will inevitably atrophy.","쇠퇴하다","지속적인 투자 없이는 회사의 경쟁 능력이 필연적으로 쇠퇴할 것이다.","衰退する","継続的な投資がなければ会社の競争力は必然的に衰退する。","萎缩","如果没有持续投资，公司的竞争能力将不可避免地萎缩。"
"bedrock","Customer trust is the bedrock upon which the company's success is built.","근본","고객 신뢰는 회사의 성공이 구축되는 근본이다.","基盤","顧客の信頼は会社の成功が築かれる基盤だ。","基石","客户信任是公司成功赖以建立的基石。"
"begrudge","The CEO did not begrudge the investment required for long-term sustainability goals.","아까워하다","CEO는 장기적 지속 가능성 목표에 필요한 투자를 아까워하지 않았다.","惜しむ","CEOは長期的な持続可能性目標に必要な投資を惜しまなかった。","吝惜","CEO不吝惜长期可持续发展目标所需的投资。"
"bellicose","The competitor's bellicose approach to market competition alarmed industry observers.","호전적인","경쟁사의 호전적인 시장 경쟁 접근이 업계 관찰자를 경각시켰다.","好戦的な","競合他社の好戦的な市場競争へのアプローチが業界の観察者を警戒させた。","好战的","竞争对手好战的市场竞争方式引起了行业观察者的警觉。"
"benchmark","The industry leader's performance serves as a benchmark for all competitors.","기준점","업계 리더의 성과는 모든 경쟁사의 기준점 역할을 한다.","ベンチマーク","業界リーダーのパフォーマンスは全競合他社のベンチマークとして機能する。","基准","行业领导者的业绩作为所有竞争对手的基准。"
"beneficiary","Employees listed their families as primary beneficiaries of the corporate life insurance.","수혜자","직원들은 가족을 기업 생명보험의 주요 수혜자로 등록했다.","受益者","従業員は家族を企業生命保険の主要受益者として登録した。","受益人","员工将家人列为公司人寿保险的主要受益人。"
"bequeath","The retiring founder chose to bequeath his shares to the employee trust fund.","유증하다","퇴임하는 설립자는 직원 신탁 기금에 주식을 유증하기로 했다.","遺贈する","退任する創設者は従業員信託基金に株式を遺贈することを選んだ。","遗赠","即将退休的创始人选择将其股份遗赠给员工信托基金。"
"blatant","The blatant disregard for safety regulations resulted in severe governmental penalties.","노골적인","안전 규정에 대한 노골적인 무시가 심각한 정부 처벌을 초래했다.","露骨な","安全規制に対する露骨な無視が深刻な政府の罰則をもたらした。","明目张胆的","对安全法规明目张胆的无视导致了严重的政府处罚。"
"blight","Urban blight in the surrounding neighborhood affected the property's commercial value.","황폐","주변 지역의 도시 황폐가 부동산의 상업적 가치에 영향을 미쳤다.","荒廃","周辺地域の都市荒廃が不動産の商業価値に影響を与えた。","衰败","周边社区的城市衰败影响了该物业的商业价值。"
"blithe","The CFO's blithe attitude toward rising debt levels concerned the audit committee.","태평한","증가하는 부채 수준에 대한 CFO의 태평한 태도가 감사 위원회를 우려시켰다.","のんきな","増加する負債レベルに対するCFOののんきな態度が監査委員会を懸念させた。","轻率的","CFO对不断上升的债务水平轻率的态度令审计委员会担忧。"
"bombastic","The executive's bombastic promises failed to impress the skeptical investor group.","과장된","경영진의 과장된 약속은 회의적인 투자자 그룹에게 깊은 인상을 주지 못했다.","大げさな","幹部の大げさな約束は懐疑的な投資家グループに好印象を与えなかった。","夸大的","高管夸大的承诺未能给持怀疑态度的投资者群体留下印象。"
"boon","The new free trade agreement was a boon for export-oriented manufacturers.","은혜","새로운 자유무역 협정은 수출 지향 제조업체에 은혜였다.","恩恵","新しい自由貿易協定は輸出志向の製造業者にとって恩恵だった。","福音","新的自由贸易协定对出口导向型制造商来说是一个福音。"
"bourgeois","The brand targeted affluent bourgeois consumers in major metropolitan markets.","부르주아의","브랜드는 주요 대도시 시장의 부유한 부르주아 소비자를 타겟으로 했다.","ブルジョアの","ブランドは主要都市市場の裕福なブルジョアの消費者をターゲットにした。","资产阶级的","该品牌以主要大都市市场中的富裕资产阶级消费者为目标。"
"bureaucracy","Reducing internal bureaucracy helped the company make faster strategic decisions.","관료제","내부 관료제를 줄이는 것이 회사가 더 빠른 전략적 결정을 내리는 데 도움이 되었다.","官僚制度","内部の官僚制度を削減することが会社のより迅速な戦略的意思決定に役立った。","官僚体制","减少内部官僚体制帮助公司做出更快的战略决策。"
"cajole","The team lead tried to cajole reluctant members into participating in the project.","달래다","팀 리더는 꺼리는 구성원을 프로젝트 참여로 달래려 했다.","なだめる","チームリーダーは消極的なメンバーをプロジェクトへの参加になだめようとした。","哄骗","团队负责人试图哄骗不情愿的成员参与项目。"
"caliber","The company attracts professionals of the highest caliber from around the world.","능력","회사는 전 세계에서 최고 수준의 전문가를 끌어들인다.","能力","会社は世界中から最高レベルの専門家を引きつけている。","素质","公司吸引来自世界各地最高素质的专业人士。"
"calumny","The executive sued the media outlet for spreading calumny about her business dealings.","중상","경영진은 사업 거래에 대한 중상을 퍼뜨린 미디어를 고소했다.","中傷","幹部は事業取引に関する中傷を広めたメディアを訴えた。","诽谤","该高管因媒体散布关于她商业交易的诽谤而起诉。"
"canvass","The marketing team was asked to canvass potential clients in the new territory.","조사하다","마케팅 팀은 새 영역의 잠재 고객을 조사하도록 요청받았다.","調査する","マーケティングチームは新しいテリトリーの潜在顧客を調査するよう求められた。","调查","营销团队被要求在新区域调查潜在客户。"
"caricature","The editorial cartoon presented a caricature of the tech industry's rapid consolidation.","풍자화","사설 만화는 기술 산업의 급속한 통합에 대한 풍자화를 제시했다.","風刺画","社説漫画はテック業界の急速な統合の風刺画を提示した。","讽刺画","社论漫画呈现了对科技行业快速整合的讽刺画。"
"catalyst","The new CEO served as a catalyst for sweeping organizational change.","촉매","새 CEO는 전면적인 조직 변화의 촉매 역할을 했다.","触媒","新CEOは抜本的な組織変革の触媒として機能した。","催化剂","新任CEO充当了全面组织变革的催化剂。"
"censure","The ethics board voted to formally censure the executive for conflict of interest.","질책","윤리 위원회는 이해 충돌로 경영진을 공식적으로 질책하기로 투표했다.","非難","倫理委員会は利益相反により幹部を正式に非難する投票を行った。","谴责","道德委员会投票正式谴责该高管的利益冲突行为。"
"charismatic","The charismatic leader inspired employees to exceed their performance targets consistently.","카리스마 있는","카리스마 있는 리더가 직원들이 지속적으로 성과 목표를 초과하도록 영감을 주었다.","カリスマ的な","カリスマ的なリーダーが従業員にパフォーマンス目標を常に超えるよう刺激を与えた。","有魅力的","有魅力的领导者激励员工持续超越绩效目标。"
"chastise","The regulator publicly chastised the bank for its inadequate risk management practices.","징계하다","규제 기관은 은행의 부적절한 위험 관리 관행에 대해 공개적으로 징계했다.","懲戒する","規制当局は不十分なリスク管理慣行について銀行を公に懲戒した。","惩戒","监管机构公开惩戒了银行不充分的风险管理做法。"
"chronicle","The business journalist set out to chronicle the rise and fall of the tech empire.","연대기에 기록하다","비즈니스 기자가 기술 제국의 흥망을 연대기에 기록하기 시작했다.","年代記に記す","ビジネスジャーナリストはテック帝国の盛衰を年代記に記すことに着手した。","记录","商业记者着手记录科技帝国的兴衰。"
"circumlocution","The CEO's circumlocution during the earnings call frustrated impatient analysts.","완곡한 표현","실적 발표 중 CEO의 완곡한 표현이 참을성 없는 분석가를 좌절시켰다.","回りくどい表現","決算説明会でのCEOの回りくどい表現がせっかちなアナリストを苛立たせた。","委婉说法","CEO在财报电话会议上的委婉说法让急躁的分析师感到沮丧。"
"clemency","The judge showed clemency in sentencing the first-time corporate offender.","관용","판사는 초범 기업 범죄자에 대한 양형에서 관용을 보였다.","寛大さ","裁判官は初犯の企業犯罪者に対する量刑で寛大さを示した。","宽大","法官在对初犯的企业犯罪者量刑时表现出宽大。"
"coercion","The contract was voided because it was signed under duress and economic coercion.","강압","계약은 강압과 경제적 압박 하에 서명되었기 때문에 무효화되었다.","強制","契約は強迫と経済的強制の下で署名されたため無効とされた。","胁迫","合同因在胁迫和经济胁迫下签署而被作废。"
"cognizant","Leaders must be cognizant of how decisions affect diverse stakeholder groups.","인식하는","리더는 결정이 다양한 이해관계자 그룹에 어떻게 영향을 미치는지 인식해야 한다.","認識している","リーダーは意思決定が多様な利害関係者グループにどう影響するか認識していなければならない。","认识到的","领导者必须认识到决策如何影响不同的利益相关者群体。"
"collusion","The antitrust investigation uncovered evidence of price-fixing collusion among competitors.","공모","반독점 조사에서 경쟁사 간 가격 담합 공모의 증거가 발견되었다.","共謀","独占禁止法の調査が競合他社間の価格固定の共謀の証拠を明らかにした。","勾结","反垄断调查揭露了竞争对手之间价格操纵勾结的证据。"
"commemorate","The company held a ceremony to commemorate its hundredth anniversary milestone.","기념하다","회사는 100주년 이정표를 기념하기 위해 행사를 개최했다.","記念する","会社は創立100周年のマイルストーンを記念する式典を開催した。","纪念","公司举行了仪式纪念其百年里程碑。"
"commiserate","Colleagues gathered to commiserate with the team after the project's unexpected cancellation.","동정하다","프로젝트의 예상치 못한 취소 후 동료들이 팀을 동정하기 위해 모였다.","同情する","プロジェクトの予期せぬ中止後、同僚がチームに同情するために集まった。","同情","项目意外取消后，同事们聚集在一起同情团队。"
"compel","Regulatory pressure may compel the company to revise its data privacy policies.","강제하다","규제 압력이 회사로 하여금 데이터 프라이버시 정책을 수정하도록 강제할 수 있다.","強いる","規制の圧力が会社にデータプライバシーポリシーの改定を強いる可能性がある。","迫使","监管压力可能迫使公司修改其数据隐私政策。"
"complacency","Market leaders must guard against complacency to maintain their competitive edge.","안일","시장 리더는 경쟁 우위를 유지하기 위해 안일에 대해 경계해야 한다.","自己満足","市場リーダーは競争力を維持するために自己満足に警戒しなければならない。","自满","市场领导者必须警惕自满以保持其竞争优势。"
"confound","The unexpected results of the market study confounded even the most experienced analysts.","당황하게 하다","시장 조사의 예상치 못한 결과가 가장 경험 많은 분석가도 당황하게 했다.","困惑させる","市場調査の予想外の結果が最も経験豊富なアナリストさえも困惑させた。","使困惑","市场研究的意外结果使最有经验的分析师也感到困惑。"
"congruent","The company's marketing message must be congruent with its actual business practices.","일치하는","회사의 마케팅 메시지는 실제 비즈니스 관행과 일치해야 한다.","一致した","会社のマーケティングメッセージは実際のビジネス慣行と一致していなければならない。","一致的","公司的营销信息必须与其实际业务做法一致。"
"conjoin","The merger will effectively conjoin two of the industry's most innovative companies.","결합하다","합병은 사실상 업계에서 가장 혁신적인 두 회사를 결합할 것이다.","結合する","合併は事実上業界で最もイノベーティブな2社を結合することになる。","联合","合并将有效地联合该行业最具创新性的两家公司。"
"consternation","The sudden resignation of the CEO caused widespread consternation throughout the organization.","경악","CEO의 갑작스러운 사임이 조직 전체에 광범위한 경악을 불러일으켰다.","驚愕","CEOの突然の辞任が組織全体に広範な驚愕を引き起こした。","惊愕","CEO的突然辞职在整个组织中引起了广泛的惊愕。"
"contiguous","The company owns several contiguous properties along the downtown commercial corridor.","인접한","회사는 도심 상업 회랑을 따라 여러 인접 부동산을 소유하고 있다.","隣接した","会社はダウンタウンの商業回廊に沿って複数の隣接する物件を所有している。","毗邻的","公司拥有沿市中心商业走廊的几处毗邻物业。"
"contort","The spokesperson tried to contort the facts to present a more favorable narrative.","왜곡하다","대변인은 더 유리한 이야기를 제시하기 위해 사실을 왜곡하려 했다.","歪曲する","スポークスパーソンはより好意的な物語を提示するために事実を歪曲しようとした。","歪曲","发言人试图歪曲事实以呈现更有利的叙述。"
"contravention","The company was fined for contravention of international trade sanctions.","위반","회사는 국제 무역 제재 위반으로 벌금이 부과되었다.","違反","会社は国際貿易制裁の違反により罰金を科された。","违反","公司因违反国际贸易制裁而被罚款。"
"convergence","The convergence of mobile technology and finance created the fintech revolution.","융합","모바일 기술과 금융의 융합이 핀테크 혁명을 만들어냈다.","収束","モバイル技術と金融の収束がフィンテック革命を生み出した。","融合","移动技术和金融的融合创造了金融科技革命。"
"convoke","The chairman decided to convoke an emergency meeting of all board members.","소집하다","회장은 모든 이사회 구성원의 긴급 회의를 소집하기로 결정했다.","召集する","会長は全取締役の緊急会議を召集することを決定した。","召集","董事长决定召集所有董事会成员召开紧急会议。"
"corpulent","The satirical cartoon depicted the corporate executive as a corpulent figure.","뚱뚱한","풍자 만화는 기업 경영진을 뚱뚱한 인물로 묘사했다.","肥満した","風刺漫画は企業幹部を肥満した人物として描写した。","肥胖的","讽刺漫画将企业高管描绘成一个肥胖的人物。"
"corrosive","The corrosive effect of internal politics can destroy even the strongest organizations.","부식성의","내부 정치의 부식성 효과는 가장 강한 조직도 파괴할 수 있다.","腐食性の","内部政治の腐食性の影響は最も強い組織でさえ破壊し得る。","腐蚀性的","内部政治的腐蚀性影响甚至可以摧毁最强大的组织。"
"cosmopolitan","The company's cosmopolitan workforce brings diverse perspectives to problem-solving.","세계주의적인","회사의 세계주의적인 인력이 문제 해결에 다양한 관점을 가져온다.","国際的な","会社の国際的な労働力が問題解決に多様な視点をもたらす。","国际化的","公司国际化的员工队伍为解决问题带来了多元化的视角。"
"countenance","The board could not countenance the proposed reduction in employee benefits.","용납하다","이사회는 제안된 직원 복리후생 축소를 용납할 수 없었다.","容認する","取締役会は提案された従業員福利厚生の削減を容認できなかった。","赞同","董事会无法赞同拟议的员工福利削减。"
"credible","The company presented credible evidence that its products met all safety standards.","신뢰할 수 있는","회사는 제품이 모든 안전 기준을 충족한다는 신뢰할 수 있는 증거를 제시했다.","信頼できる","会社は製品が全ての安全基準を満たしていることの信頼できる証拠を提示した。","可信的","公司提供了可信的证据，证明其产品符合所有安全标准。"
"crux","The crux of the disagreement lies in the valuation methodology used.","핵심","의견 불일치의 핵심은 사용된 가치 평가 방법론에 있다.","核心","意見の不一致の核心は使用された評価方法論にある。","关键","分歧的关键在于所使用的估值方法论。"
"culpable","The investigation found several managers culpable for the safety violations.","유죄의","조사에서 여러 관리자가 안전 위반에 유죄인 것으로 밝혀졌다.","有罪の","調査により複数のマネージャーが安全違反の有罪であることが判明した。","有过失的","调查发现几名经理对安全违规负有过失责任。"
"cumulative","The cumulative effect of small efficiency improvements can be remarkably substantial.","누적의","소규모 효율성 개선의 누적 효과는 놀라울 정도로 상당할 수 있다.","累積的な","小さな効率改善の累積的な効果は驚くほど大きなものになり得る。","累积的","小幅效率改进的累积效果可以相当可观。"
"curate","The marketing team carefully curated content for the company's social media channels.","큐레이팅하다","마케팅 팀은 회사의 소셜 미디어 채널을 위해 신중하게 콘텐츠를 큐레이팅했다.","キュレーションする","マーケティングチームは会社のソーシャルメディアチャネル用にコンテンツを慎重にキュレーションした。","策划","营销团队精心策划了公司社交媒体渠道的内容。"
"cynical","The cynical analyst questioned whether the corporate social responsibility program was genuine.","냉소적인","냉소적인 분석가가 기업의 사회적 책임 프로그램이 진정한 것인지 의문을 제기했다.","冷笑的な","冷笑的なアナリストが企業の社会的責任プログラムが本物かどうか疑問を呈した。","愤世嫉俗的","愤世嫉俗的分析师质疑企业社会责任计划是否真诚。"
"daunt","The complexity of the international regulatory environment did not daunt the ambitious firm.","위축시키다","국제 규제 환경의 복잡성이 야심찬 회사를 위축시키지 않았다.","怖気づかせる","国際的な規制環境の複雑さは野心的な企業を怖気づかせなかった。","使畏惧","国际监管环境的复杂性并没有使这家雄心勃勃的公司畏惧。"
"debunk","The research team worked to debunk the myths surrounding artificial intelligence adoption.","폭로하다","연구팀은 인공지능 도입을 둘러싼 미신을 폭로하기 위해 노력했다.","暴く","研究チームは人工知能導入を取り巻く神話を暴くために取り組んだ。","揭穿","研究团队努力揭穿围绕人工智能采用的迷思。"
"decadent","Critics described the executive retreat at the luxury resort as decadent and wasteful.","퇴폐적인","비평가들은 호화 리조트에서의 경영진 워크숍을 퇴폐적이고 낭비적이라고 묘사했다.","退廃的な","批評家は高級リゾートでの幹部リトリートを退廃的で浪費的だと評した。","奢靡的","批评者将在豪华度假村举行的高管静修活动描述为奢靡且浪费的。"
"declivity","The company's earnings showed a sharp declivity in the second half of the year.","하락","회사의 수익은 하반기에 급격한 하락을 보였다.","下り坂","会社の収益は下半期に急激な下り坂を示した。","下降","公司的收益在下半年出现了急剧下降。"
"decry","Environmental groups decry the corporation's continued investment in fossil fuel projects.","비난하다","환경 단체들은 기업의 화석 연료 프로젝트에 대한 지속적인 투자를 비난한다.","非難する","環境団体は企業の化石燃料プロジェクトへの継続的な投資を非難している。","谴责","环保团体谴责该公司继续投资化石燃料项目。"
"deem","The board deemed the proposed acquisition price to be fair and reasonable.","간주하다","이사회는 제안된 인수 가격을 공정하고 합리적인 것으로 간주했다.","見なす","取締役会は提案された買収価格を公正かつ合理的と見なした。","认为","董事会认为拟议的收购价格是公平合理的。"
"defray","The sponsorship helped defray the considerable costs of hosting the international conference.","충당하다","후원이 국제 회의 개최의 상당한 비용을 충당하는 데 도움이 되었다.","負担する","スポンサーシップが国際会議開催の多大な費用を負担するのに役立った。","支付","赞助帮助支付了举办国际会议的可观费用。"
"deluge","The company was hit by a deluge of customer complaints after the price increase.","홍수","가격 인상 후 회사에 고객 불만의 홍수가 쏟아졌다.","殺到","値上げ後、会社に顧客の苦情が殺到した。","洪水","价格上涨后，公司遭到客户投诉的洪水般涌入。"
"demagogue","The industry critic was labeled a demagogue for exploiting consumer fears about data privacy.","선동가","업계 비평가는 데이터 프라이버시에 대한 소비자 공포를 이용한 선동가로 낙인찍혔다.","扇動者","業界批評家はデータプライバシーに関する消費者の恐怖を利用する扇動者とレッテルを貼られた。","煽动者","行业批评者因利用消费者对数据隐私的恐惧而被贴上煽动者的标签。"
"demise","The demise of the once-dominant retailer was attributed to poor digital strategy.","소멸","한때 지배적이었던 소매업체의 소멸은 열악한 디지털 전략 탓이었다.","終焉","かつて支配的だった小売業者の終焉は不十分なデジタル戦略に起因していた。","消亡","这家曾经占主导地位的零售商的消亡归因于糟糕的数字战略。"
"demographic","Shifting demographic trends are reshaping the consumer electronics market landscape.","인구통계학적","변화하는 인구통계학적 추세가 소비자 전자 제품 시장 환경을 재편하고 있다.","人口統計的な","変化する人口統計的トレンドが消費者電子機器市場の景観を再形成している。","人口统计的","不断变化的人口统计趋势正在重塑消费电子市场格局。"
"denigrate","The rival company launched a campaign to denigrate our product's reputation.","비방하다","경쟁 회사가 우리 제품의 명성을 비방하는 캠페인을 시작했다.","中傷する","ライバル企業が我々の製品の評判を中傷するキャンペーンを開始した。","诋毁","竞争公司发起了诋毁我们产品声誉的活动。"
"derogatory","The employee was disciplined for making derogatory comments about a colleague's background.","경멸적인","직원은 동료의 배경에 대한 경멸적인 발언으로 징계를 받았다.","軽蔑的な","従業員は同僚の経歴に対する軽蔑的なコメントをしたことで懲戒された。","贬损的","该员工因对同事背景发表贬损性言论而受到纪律处分。"
"descry","Market analysts were the first to descry the emerging trend in sustainable investing.","발견하다","시장 분석가들이 지속 가능한 투자의 새로운 추세를 처음으로 발견했다.","発見する","市場アナリストが持続可能な投資の新たなトレンドを最初に発見した。","发现","市场分析师最先发现了可持续投资的新兴趋势。"
"despot","The company founder ruled the organization like a despot with unchecked authority.","독재자","회사 설립자는 억제되지 않은 권한으로 독재자처럼 조직을 통치했다.","独裁者","会社の創設者は制約のない権限を持つ独裁者のように組織を統治した。","专制者","公司创始人像一个拥有不受约束权力的专制者一样统治着组织。"
"dialectic","The management training included a dialectic approach to strategic problem-solving.","변증법적","관리 교육에는 전략적 문제 해결에 대한 변증법적 접근이 포함되었다.","弁証法的","管理研修には戦略的問題解決に対する弁証法的アプローチが含まれていた。","辩证的","管理培训包括对战略问题解决的辩证方法。"
"dilapidated","The company purchased the dilapidated warehouse with plans for a complete renovation.","황폐한","회사는 전면 개보수 계획으로 황폐한 창고를 구입했다.","荒廃した","会社は全面改修の計画で荒廃した倉庫を購入した。","破旧的","公司购买了破旧的仓库，计划进行全面翻新。"
"dilatory","The dilatory response to the supply chain crisis worsened the company's market position.","지연하는","공급망 위기에 대한 지연하는 대응이 회사의 시장 지위를 악화시켰다.","遅延の","サプライチェーン危機に対する遅延の対応が会社の市場ポジションを悪化させた。","拖延的","对供应链危机拖延的回应恶化了公司的市场地位。"
"dire","The company faced dire consequences after failing to comply with safety regulations.","심각한","회사는 안전 규정을 준수하지 못한 후 심각한 결과에 직면했다.","深刻な","会社は安全規制を遵守しなかった後に深刻な結果に直面した。","严峻的","公司在未能遵守安全法规后面临严峻的后果。"
"disaffect","The unpopular policy changes began to disaffect previously loyal employees.","불만을 품게 하다","인기 없는 정책 변경이 이전에 충성스러웠던 직원들에게 불만을 품게 하기 시작했다.","不満を抱かせる","人気のない方針変更が以前忠実だった従業員に不満を抱かせ始めた。","使不满","不受欢迎的政策变更开始使以前忠诚的员工产生不满。"
"disavow","The company moved quickly to disavow the controversial statements made by its spokesperson.","부인하다","회사는 대변인이 한 논란이 많은 발언을 신속하게 부인했다.","否認する","会社はスポークスパーソンの物議を醸す発言を迅速に否認した。","否认","公司迅速否认了其发言人发表的有争议的声明。"
"disconcert","The sudden boardroom shakeup was intended to disconcert potential activist investors.","당황하게 하다","갑작스러운 이사회 개편은 잠재적 활동가 투자자를 당황하게 하기 위한 것이었다.","狼狽させる","突然の取締役会の改編は潜在的なアクティビスト投資家を狼狽させることを意図していた。","使不安","突然的董事会改组旨在使潜在的激进投资者感到不安。"
"disdain","The market leader's disdain for smaller competitors proved to be a strategic mistake.","경멸","시장 리더의 소규모 경쟁사에 대한 경멸은 전략적 실수로 판명되었다.","軽蔑","市場リーダーの小規模競合に対する軽蔑は戦略的な間違いであることが判明した。","蔑视","市场领导者对小型竞争对手的蔑视被证明是一个战略错误。"
"disenchant","The repeated broken promises began to disenchant the company's most loyal customers.","환멸시키다","반복되는 약속 위반이 회사의 가장 충성스러운 고객을 환멸시키기 시작했다.","幻滅させる","繰り返される約束違反が会社の最も忠実な顧客を幻滅させ始めた。","使幻灭","反复违背的承诺开始让公司最忠实的客户感到幻灭。"
"disentangle","The legal team worked to disentangle the complex web of subsidiary relationships.","풀다","법률팀은 자회사 관계의 복잡한 그물을 풀기 위해 노력했다.","解きほぐす","法務チームは子会社関係の複雑な網を解きほぐすために取り組んだ。","理清","法律团队努力理清子公司关系的复杂网络。"
"dispense","The automated system dispenses medications according to verified physician prescriptions.","분배하다","자동화 시스템은 확인된 의사 처방에 따라 약품을 분배한다.","分配する","自動化システムは確認済みの医師の処方に従って薬を分配する。","分配","自动化系统根据经过验证的医生处方分配药品。"
